DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	MYC
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
CRTC2	CREB1
CREBBP	SP1
ADRA1A	GNA13
GNA13	SRC
SRC	STAT3
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PRKCA	CREB1
PIK3R5	HIF1A
HIF1A	CREBBP
TEAD3	CTGF
MAPK9	NOS2
RFXAP	HLA-DMA
SP3	ABCA1
USF1	CCNB1
USF2	CCNB1
USF2	CEACAM6
ATF1	CGA
POU2F1	HIST2H2BE
FOS	HLA-DRA
