TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ATF4
PRKACA	ATF6B
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	ETS1
NFKB1	HIF1A
PRKACA	RELA
PRKACA	EP300
CREBBP	ARNT
MAPK8	FOS
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK8	ELK1
ELK1	SPI1
MAPK1	STAT1
ELK1	EGR1
CREB3L3	ARC
CREB3L1	FOS
NFKB1	BIRC7
RELA	BIRC3
RELA	BIRC7
GLI1	WNT6
GLI1	WNT8A
GLI1	WNT2B
GLI2	HHIP
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
MAPK11	IL8
RBPJL	FCER2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	BIRC3
MAPK8	SMAD4
RELA	TNF
CREBBP	PDK1
CREBBP	PGK1
EP300	PDK1
EP300	PGK1
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
RXRA	SCD5
RXRB	ACAA1
NFKB1	IL1A
NFYA	HLA-DMA
NFYA	HLA-DMB
NFYB	HLA-DPA1
RFX5	LOC100507709
RFX5	HLA-DQA1
RFX5	CD74
RFXAP	LOC100507709
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CCND1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
PPARA	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
ERG	HMOX1
JUN	IVL
ATF2	JUN
SMAD4	JUN
PGR	KLK3
SP1	KRT18
SP3	LHB
PPARG	LIPA
NFKB1	LTA
JUN	MGP
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
NFKB1	PPP2R4
CEBPB	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
EGR1	PTP4A1
PPARG	SERPINE1
CREB1	SLC9A1
CREB1	TG
TFAP2A	TH
FLI1	TNNC1
SP3	TNPO1
TFAP2A	VHL
