PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	JUN
CTNNB1	CREBBP
CREBBP	SP1
RXRA	THRB
THRB	GATA4
GATA4	SRF
SRF	ETS1
THRB	PIK3R5
PIK3R5	HRAS
HRAS	FOS
CREBBP	CREB1
CREBBP	TP53
THRB	HIF1A
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	HRAS
HRAS	JUN
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
GATM	NOS3
NOS3	CREB1
MAPK1	TP53
PRKCA	MTOR
MTOR	HIF1A
PRKCA	PRKACA
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	JUN
PRKCZ	MAPK1
MAPK1	FOS
AKT3	CREB1
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
TP53	CDKN1A
EP300	ANGPT4
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQB1
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU5F1	GADD45A
TAL1	NFKB1
ETS1	TNNC1
