AGTR1	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	PPARA
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
CREB3L2	MITF
EPAS1	SLC2A1
ETS1	CDK4
FOS	MMP1
NFKB2	TRAF6
IRF8	IL12B
ATF2	MCL1
RELA	MYB
PPARA	EHHADH
PPARA	APOA2
PPARA	ANGPTL4
PPARD	LPL
PPARG	ACSL3
PPARG	PCK1
PPARG	SCD5
RXRA	EHHADH
RXRB	CYP7A1
RXRB	DBI
RXRG	SLC27A4
RXRG	CPT1A
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQA1
MAPK8	IL12A
MAPK8	IL12B
USF1	XRCC6
NFIC	CYP17A1
RARA	GADD45A
