TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	TFDP1
TFDP1	E2F1
SMAD3	SP1
RHOA	RAF1
RAF1	NFKB1
NFKB1	CEBPB
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK8	TP53
PRKACA	PPARA
RAF1	AKT3
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
SMAD3	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
AKT3	CHUK
CHUK	IRF7
NFKB1	TRAF6
TRAF6	MYD88
AKT3	CREB1
AKT3	MTOR
MTOR	PPARG
MAPK8	ELK1
ELK1	SPI1
TFDP1	E2F2
TFDP1	E2F3
MAPK8	FOXO1
MAPK8	FOXO3
PRKACA	PDX1
PDX1	HNF4A
RAF1	MAPK1
MAPK1	STAT1
FOXO3	BCL6
GLI2	WNT2
GLI2	WNT3
GLI3	WNT3
LEF1	SNAI2
LEF1	AXIN2
SOS2	SPRED1
STAT1	CCND3
STAT1	SOCS3
LEF1	MITF
NFKB1	TNFAIP3
NFKB1	PGF
RELA	FIGF
ETS1	MMP1
ETS1	MMP2
FOS	MMP1
MYC	MMP2
NFKB1	TRAF4
CREB3	BCL2
CREB1	MCL1
ATF2	MCL1
RELA	MYB
PPARA	LPL
PPARA	ME1
PPARA	ANGPTL4
PPARD	LPL
PPARG	PLIN1
PPARG	SCD
PPARG	SCD5
RXRA	EHHADH
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	DBI
RXRB	FABP4
RXRB	FABP3
RXRB	ACADM
RXRB	SLC27A1
RXRB	SCP2
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1A
RXRG	CPT2
RXRG	CYP7A1
NFYB	HLA-DMB
NFYB	HLA-DOA
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFX5	LOC100507714
RFXAP	HLA-DRA
MAPK12	IL1A
CREB5	AQP2
SP1	COL4A1
USF1	XRCC6
REL	CSF2
CREB1	CYP11A1
EGR1	EGFR
ETV4	ERBB2
PPARG	GADD45A
RARA	GADD45A
ETS1	HMOX1
NFIC	HMOX1
CEBPA	MMP11
CEBPA	MMP2
FOS	MT1A
