CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	TP53
MAPK1	CREB1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	FOXO3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ATF2
MAPK1	ELK1
ELK1	EGR1
MAPK1	ATF4
CAMK2A	ATF1
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
HRAS	JUN
IFNG	ICAM1
TNF	ICAM1
TNF	VCAM1
CREB3	FOSB
CREB3	BDNF
CREB1	FOSB
CREB1	BDNF
ATF2	FOSB
ATF2	BDNF
ATF6B	FOSB
CREB3L4	FOSB
CREB3L4	BDNF
ATF4	FOSB
ATF4	BDNF
MAPK3	PDYN
CREB3L2	FOSB
RBPJ	FCER2
CTNNB1	CCND3
ATF6B	IL8
EGR2	FASLG
RELA	IL6
CREBBP	ENO1
CREBBP	ALDOA
CREBBP	PFKL
EP300	ENO1
EP300	ALDOA
EP300	PFKL
HIF1A	ENO1
HIF1A	ALDOA
SOS1	SPRY3
NFKB1	FIGF
EPAS1	SLC2A1
ETS1	VEGFC
NFKB2	TRAF6
FOXO3	G6PC2
ATF4	BCL2
PPARA	EHHADH
PPARD	CPT1A
PPARD	ACADL
PPARG	ACSL3
RXRA	CYP4A11
RXRA	CYP27A1
RFX5	HLA-DOA
RFX5	HLA-DOB
USF2	ABCA1
NFIC	ARG1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ATF2	CGA
CREB1	GSTP1
SP1	GYPC
NFIC	HBA2
RELA	HDAC2
ATF2	IFNG
EGR1	IFNG
STAT1	IFNG
STAT5A	IFNG
USF1	IFNG
CEBPB	IGF2
WT1	IGF2
SP1	IGFBP3
TFAP2A	IGFBP3
CEBPD	IL1A
CEBPD	IL1B
REL	IL1B
SPI1	IL1B
CREM	IL2
EGR4	IL2
NFKB1	IL2
PPARG	PTGS2
MYC	PTMA
RARA	S100A8
RARB	S100A9
NFIC	SFTPC
POU2F1	SPP1
SP1	TAF7
HOXA4	TH
STAT1	TIMP1
CEBPA	TK1
SMAD4	TNNC1
STAT1	TP53
SP1	TPI1
