GABRA1	PRKCD
PRKCD	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
PRKCD	EP300
EP300	ETS1
PRKCD	YWHAG
YWHAG	YAP1
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
PRKCD	SP1
PRKCD	STAT1
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
TAX1BP1	ITCH
ITCH	JUN
GABARAP	ATG7
ATG7	EP300
TAX1BP1	RAD18
RAD18	YAP1
GABARAP	DVL2
DVL2	WWTR1
WWTR1	TEAD1
TAX1BP1	IKBKE
IKBKE	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
ATG7	STAT1
GABRA3	SDCBP2
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	RELA
ZCCHC10	PIN1
PIN1	JUN
TP53	ETS1
PIN1	YAP1
SDCBP2	BEND7
BEND7	TRIM27
TEAD4	TEAD1
BEND7	C1QBP
C1QBP	PHB2
PHB2	TEAD3
TP53	SP1
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	STAT1
GABRA4	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	JUN
APP	MAPK7
MAPK7	ETS1
APP	TAF6
TAF6	YAP1
APP	HGS
HGS	INSR
APP	MCM7
MCM7	TRIM27
APP	KAT5
KAT5	E2F1
MAPK8	SP1
APP	HDAC4
HDAC4	STAT1
GABRB1	NOD1
NOD1	COPS6
COPS6	NFKB1
NOD1	RNF34
RNF34	TP53
NOD1	CASP9
CASP9	JUN
NOD1	UBC
UBC	ABL1
ABL1	YAP1
TP53	NCOA1
NCOA1	TEAD1
UBC	TRIM27
UBC	E2F1
NOD1	HSP90AA1
HSP90AA1	SP1
UBC	BRCA1
BRCA1	STAT1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	RELA
GSK3B	JUN
GSK3B	TP53
TRAK2	PRKAG1
PRKAG1	SIP2
SIP2	YAP1
YAP1	TEAD1
TRAK2	PRKAB2
PRKAB2	GOLGA2
YAP1	TEAD3
PRKAB2	CRX
CRX	SP1
PRKAB2	GNB2L1
GNB2L1	STAT1
GABRB3	MEOX2
MEOX2	RELA
RELA	NFKB1
RELA	JUN
GABRB3	PRKCA
PRKCA	EP300
MEOX2	PIN1
MEOX2	PRKAB2
MEOX2	KAT5
RELA	SP1
MEOX2	CIAPIN1
CIAPIN1	STAT1
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	UBQLN2
UBQLN2	YAP1
UBQLN1	HGS
UBQLN1	UBC
UBQLN1	MTOR
MTOR	STAT1
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	SATB1
SATB1	EP300
GABRE	FAM189B
FAM189B	YAP1
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	TEAD1
ZDHHC17	GOLGA2
CUX1	CCNA1
CCNA1	SP1
GABRE	ALG9
ALG9	RTF1
RTF1	STAT1
NFKB1	BIRC7
RELA	BIRC7
YAP1	CTGF
YAP1	SNAI2
TEAD1	CTGF
TEAD1	SNAI2
TEAD4	CTGF
TEAD4	SNAI2
TEAD3	CTGF
TEAD3	SNAI2
NFKB1	TRAF2
RELA	TRAF2
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
ETS1	VEGFC
JUN	VEGFC
STAT1	CXCL9
SP1	CTGF
ETS1	IL5
JUN	IL5
