ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	CD44
CD44	STAT3
COL1A1	UBL4A
UBL4A	HNRNPK
HNRNPK	CEBPB
COL1A1	ITGB1
ITGB1	FLNA
FLNA	REL
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	TSG101
TSG101	EP300
EP300	STAT3
EP300	CEBPB
KRT31	PSMA1
PSMA1	REL
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	HIF1A
HIF1A	STAT3
Rac1	dsh
dsh	MED23
MED23	CEBPB
Rac1	Traf6
Traf6	ECSIT
ECSIT	NFKB1
NFKB1	REL
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	PRKCD
PRKCD	STAT3
YWHAH	HNRNPK
YWHAH	PARK2
PARK2	REL
CHRNA7	FYN
FYN	BCL3
BCL3	STAT3
BCL3	EP300
FYN	CSF1R
CSF1R	GRB2
GRB2	REL
CHRNA9	CHEK1
CHEK1	RB1
RB1	STAT3
CHRNA9	POM121
POM121	BRCA1
BRCA1	CEBPB
CHRNA9	KLC4
KLC4	NUCB1
NUCB1	REL
CHRNB3	TYRO3
TYRO3	SRC
SRC	STAT3
SRC	EGFR
EGFR	CEBPB
SRC	GRB2
CHRNB4	Ubqln1
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
