HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
ADRA2A	UCHL1
UCHL1	UBE2I
UBE2I	PPARA
HTR2C	CALM1
CALM1	HSP90AA1
OPRK1	SIAH1
SIAH1	UBE2I
ADRA2C	UCHL1
HTR7	CUL3
CUL3	HSP90AA1
ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
ADRA1D	GOPC
GOPC	RELA
RELA	PPARA
DRD2	CALM1
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
SLC6A2	SNCA
SNCA	APP
APP	AKAP13
AKAP13	PPARA
SLC6A4	SNCA
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	NCOA1
NCOA1	PPARA
HTR2B	AGTR1
AGTR1	ARRB2
ARRB2	CDK3
CDK3	PPARA
DRD1	RANBP9
RANBP9	UBE2I
DRD5	GNA12
GNA12	HSP90AA1
ADRB1	ARRB2
ADRB2	STAT3
STAT3	RELA
PPARA	FADS2
