HTR2A	CBL
CBL	SRC
SRC	RXRA
CBL	CTNNB1
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
GRB2	HSP90AA1
HSP90AA1	PPARA
ADRA2A	UCHL1
UCHL1	UBE2I
UBE2I	RXRA
ADRA2A	GNAI2
GNAI2	MDFI
MDFI	NR1H2
NR1H2	RXRB
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	CTNNB1
CTNNB1	EP300
UCHL1	HSP90AA1
HSP90AA1	ARNT
UBE2I	PPARA
HTR2C	DLG4
DLG4	KCNA4
KCNA4	SRC
DLG4	FYN
FYN	NR3C1
NR3C1	RXRB
DLG4	MDM2
MDM2	CUL1
CUL1	RXRG
HTR2C	CALM1
CALM1	ESR1
ESR1	CREBBP
MDM2	EP300
MDM2	HIF1A
CALM1	HSP90AA1
OPRK1	SIAH1
SIAH1	UBE2I
SIAH1	CTNNB1
SIAH1	STAT3
STAT3	EP300
STAT3	HIF1A
SIAH1	PIAS2
PIAS2	ARNT
ADRA2C	UCHL1
HTR7	CUL3
CUL3	SMN1
SMN1	RXRA
CUL3	APP
APP	AKAP13
AKAP13	RXRB
CUL3	CUL1
CUL3	CTNNB1
CUL3	GRB2
CUL3	HSP90AA1
ADRA1B	AP2M1
AP2M1	CSNK2B
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
SFPQ	PPARG
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
ADRA1D	GOPC
GOPC	RELA
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRG
ABCA1	CREBBP
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
RELA	HIF1A
RELA	PPARA
DRD2	FLNA
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
FLNA	REL
REL	CREBBP
REL	EP300
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD2	CALM1
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
GIPC1	MMS19
MMS19	THRB
THRB	RXRB
THRB	RXRG
GIPC1	MCM7
MCM7	HIF1A
HIF1A	CREBBP
DRD3	RDX
RDX	CTTN
CTTN	EP300
MCM7	RB1
RB1	ARNT
SLC6A2	SNCA
SNCA	MAPK1
MAPK1	RXRA
SNCA	APP
SNCA	MAPK8
MAPK8	NR4A1
NR4A1	RXRG
SNCA	AKT1
AKT1	CREBBP
SLC6A2	ACTB
MAPK1	HIF1A
AKAP13	PPARA
SLC6A4	SNCA
SNCA	CLTC
SLC6A3	SNCA
SLC6A3	TGFB1I1
TGFB1I1	NR3C1
SLC6A3	NEDD4
NEDD4	PPARG
TGFB1I1	SMAD3
SMAD3	CREBBP
SMAD3	EP300
SMAD3	HIF1A
SMAD3	PML
PML	ARNT
SMAD3	NCOA1
NCOA1	PPARA
HTR2B	AGTR1
AGTR1	MAPK1
AGTR1	ZBTB16
ZBTB16	NR3C1
ZBTB16	NCOR2
NCOR2	RXRG
MAPK1	CREBBP
ZBTB16	EP300
AGTR1	ARRB2
ARRB2	CDK3
CDK3	PPARA
DRD1	RANBP9
RANBP9	UBE2I
RANBP9	NR3C1
RANBP9	THRB
RANBP9	ESR1
ESR1	EP300
ESR1	HIF1A
DRD5	GNA13
GNA13	PTK2B
PTK2B	SRC
GNA13	PRKAR2A
PRKAR2A	AKAP13
DRD5	GNA12
GNA12	HSP90AA1
PPARA	RXRG
GNA13	MAP3K5
MAP3K5	CREBBP
MAP3K5	EP300
HSP90AA1	HIF1A
ADRB1	ARRB2
ARRB2	MAPK1
ARRB2	MLLT4
MLLT4	NR2C2
NR2C2	RXRB
ARRB2	RPA1
RPA1	CUL1
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ADRB1	ARRB1
ARRB1	HSP90AA1
ADRB2	SRC
ADRB2	TSG101
TSG101	NR3C1
SRC	THRB
ADRB2	REL
ADRB2	STAT3
STAT3	PML
STAT3	RELA
CREBBP	EDN1
CREBBP	PFKFB1
EP300	EDN1
EP300	PFKFB1
HIF1A	EDN1
HIF1A	PFKFB1
ARNT	EDN1
ARNT	PFKFB1
RXRA	ACADL
RXRB	ACADL
RXRG	ACADL
