SLC22A6	APP
APP	MYC
APP	MAPK8
MAPK8	TP53
MAPK8	STAT3
MAPK8	JUN
APP	SHC1
SHC1	SOS1
SHC1	SOS2
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
APP	SYVN1
SYVN1	ATF6
APP	TAF6
TAF6	YAP1
HGS	INSR
INSR	TEAD1
APP	MCM7
MCM7	TRIM27
TRIM27	TEAD4
APP	KAT5
KAT5	E2F1
E2F1	TEAD3
MAPK8	SP1
MYC	TFAP2A
SHC1	STAT5A
SHC1	STAT5B
APP	HDAC4
HDAC4	STAT1
APP	GSK3B
GSK3B	NFKB1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	STAT2
MAPK8	PIAS2
PIAS2	STAT4
HGS	AHCYL1
AHCYL1	STAT6
APP	EEF1D
EEF1D	RELA
EEF1D	HCFC1
HCFC1	E2F4
APP	HSPA8
HSPA8	POU2F1
APP	DDX54
DDX54	ESR1
GSK3B	SMAD3
MCM7	HIF1A
KAT5	CREB1
KAT5	MYB
MAPK8	CEBPA
CEBPA	CEBPE
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
MAPK8	HSF1
APP	MAPK7
MAPK7	ETS1
KAT5	MAX
HCFC1	CREB3
ELAVL1	CREB3L2
APP	CUL3
CUL3	PGRMC1
PGRMC1	CREB3L1
ELAVL1	ARNT
MAPK7	FOS
DDX54	PGR
PSEN2	APH1A
APH1A	ATF4
APP	ELK1
APP	SNCA
SNCA	MAPK1
SNCA	MAPK3
GSK3B	CEBPB
APP	TIRAP
TIRAP	MYD88
PANX1	GNAS
GNAS	AXIN1
AXIN1	MYC
AXIN1	TP53
GNAS	HLA-A
HLA-A	STAT3
GNAS	C1QBP
C1QBP	PRKD1
PRKD1	JUN
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
GNAS	RUVBL1
RUVBL1	LEF1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
GNAS	NUCB1
NUCB1	GTF2I
GTF2I	ATF6
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
GNAS	GNB2
GNB2	STAT1
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	PAICS
PAICS	HSPB1
HSPB1	STAT2
PAICS	TKT
TKT	STAT4
GIPC1	OGT
OGT	RELA
C1QBP	CEBPA
CEBPA	E2F4
C1QBP	HSPA8
GIPC1	MMS19
MMS19	ESR1
RUVBL1	CREBBP
CREBBP	SMAD3
GIPC1	MCM7
CREBBP	CREB1
PAICS	CHD3
CHD3	MYB
PRKCD	EP300
NUCB1	CBS
CBS	HSF1
CREBBP	ETS1
CEBPA	MAX
SHMT2	CREB3
RUVBL1	ELAVL1
CEBPA	Fbxw7
Fbxw7	CREB3L1
CEBPA	FOS
C1QBP	DAP3
DAP3	PGR
SHMT2	ATF4
CREBBP	ELK1
C1QBP	PARK2
PARK2	MAPK1
C1QBP	NUP153
NUP153	MAPK3
CEBPA	CEBPB
SHMT2	HDAC6
HDAC6	MYD88
NFKB1	BIRC3
RELA	BIRC3
TP53	SFN
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
ELK1	BIRC3
ELK1	CCND3
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREBBP	CDKN1B
CREBBP	LDHA
EP300	CDKN1B
EP300	LDHA
HIF1A	CDKN1B
HIF1A	LDHA
ARNT	CDKN1B
ARNT	LDHA
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	SPRY2
SOS1	MYC
SOS1	CCND3
SOS2	SPRY2
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
HSF1	HSPA1A
HSF1	HSPA8
MYD88	CXCL2
CREB3	MITF
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
CREB3L2	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
CREB3L1	MITF
MAPK1	CDK4
MAPK3	CDK4
NFKB1	CXCL2
NFKB1	TRAF1
RELA	CXCL2
RELA	TRAF1
TP53	DDB2
TP53	CCNG1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MAX	CKS2
MYC	CDK4
MYC	CKS2
MAX	CDK4
HIF1A	BNIP3
NFKB1	CD83
SP1	CD83
CEBPB	CSRP1
STAT3	CSRP1
MYC	CSTB
MYC	EIF4E
TFAP2A	HSPA1A
SP1	HSPA8
CREB1	LDHA
SP1	LDHA
E2F4	MYC
MYC	MYC
CEBPE	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	NME1
TP53	NME1
E2F4	PCNA
TP53	PCNA
POU2F1	TXNRD1
ATF6	XBP1
