HTR2A	GNAQ
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	MAPK1
MAPK1	FOXO3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
DRD2	GNAI1
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GRIA2	GRIN1
GRIN1	CALML6
CALML6	CAMK2A
GRIA2	LYN
LYN	PIK3R5
GRIN1	NOS1
NOS1	MAPK1
GRIA3	GRIN1
GRIA3	LYN
CTNNB1	CCND3
FOS	MMP9
RELA	IL6
CREBBP	GAPDH
CREBBP	PFKL
EP300	GAPDH
EP300	PFKL
HIF1A	GAPDH
STAT5A	CCND1
STAT6	MYC
NFKB1	FIGF
MYC	PTMA
NFKB1	SAA2
NFIC	SFTPC
CREB1	TF
HOXA4	TH
CEBPB	TNF
SMAD4	TNNC1
FOS	TSHB
