HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	ELK4
MAPK1	ETS1
ETS1	SRF
HRAS	JUN
HRAS	FOS
MAPK1	MYC
HRAS	MAPK3
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	CREB1
MAPK1	STAT1
MAPK1	ELK1
MAPK1	STAT3
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	HRAS
GNAI1	MAPK3
GNAI1	PIK3R5
DRD2	PPP2CA
PPP2CA	STAT1
GRIA2	GRIN1
GRIN1	NOS1
NOS1	MAPK1
GRIN1	CALML6
CALML6	PPP3CA
PPP3CA	NFATC2
NFATC2	SRF
CALML6	HRAS
GRIA2	LYN
LYN	PRKCA
PRKCA	FOS
NOS1	MAPK3
LYN	PIK3R5
PRKCA	CREB1
CALML6	CAMK2A
CAMK2A	STAT1
GRIA3	GRIN1
GRIA3	LYN
NR3C2	ATP1A3
CREBBP	PGF
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELA	TRAF1
RELB	CCL19
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	AKT3
PIK3CD	PDPK1
PIK3R1	PDPK1
PLCG2	EGFR
TCF7	MMP7
TCF7	PPARD
ETS1	IL5
HOXA5	TH
