HTR2A	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PIK3R5
PIK3R5	HIF1A
SMAD2	SP1
MAPK1	ETS1
MAPK1	MYC
HRAS	FOS
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	STAT1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
DRD2	GNAI1
GNAI1	HRAS
DRD2	PPP2CA
PPP2CA	YAP1
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
PPP2CA	STAT1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GRIA2	GRIN1
GRIN1	CALML6
CALML6	HRAS
GRIN1	DLG4
DLG4	YAP1
GRIN1	NOS1
NOS1	MAPK1
GRIA2	LYN
LYN	PIK3R5
CALML6	CAMK2A
CREBBP	SP1
LYN	PRKCA
PRKCA	FOS
CAMK2A	STAT1
PRKCA	PRKACA
GRIA3	GRIN1
GRIA3	LYN
CREB5	BDNF
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFYB	HLA-DQB1
NFYC	LOC100507714
NFYC	LOC101060835
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
PPARG	SAT1
SP1	CD9
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	EGFR
MYC	EIF4E
POU5F1	HMGB2
CEBPB	IL4
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
