TACR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
HRAS	MAPK1
MAPK1	CREB1
RAF1	RELA
MAPK1	FOXO3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ETS1	SPI1
PRKACA	CREM
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	FOXO1
HRAS	FOS
NR3C2	ATP1A2
TP53	CDKN1A
ESR1	TRPV5
ESR1	SLC8A1
LEF1	SNAI2
STAT5A	SOCS7
STAT6	SOCS4
NFKB1	PGF
NFKB1	VEGFA
RXRA	UBC
RXRB	GK2
RXRB	SLC27A1
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB3
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
WT1	ABCB1
ATF3	ASNS
ETS1	FOSL1
ETS2	FOSL1
CEBPB	IL5
TAL1	NFKB1
MYB	POLA
NFIC	POLA
