HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	PPARA
NFKB1	CEBPB
NFKB1	TP53
PRKACA	MAPK1
MAPK1	STAT3
PRKACA	CREB1
PRKACA	RAF1
RAF1	PIK3R5
RAF1	PIK3CA
RAF1	PIK3CB
RAF1	PIK3CD
RAF1	PIK3CG
RAF1	PIK3R1
RAF1	PIK3R2
RAF1	PIK3R3
CREB3L1	FOSB
CREB3L1	NPY
FOXO1	FBP2
STAT4	CCND3
STAT5B	CCND2
HSF1	HSPA1A
HSF1	HSPA6
MYD88	CXCL3
MYD88	IL12A
ELK4	FOS
HNF4A	SLC2A2
PDX1	NR5A2
NEUROD1	IAPP
MYD88	IFNA13
MAPK8	IL1A
RFXAP	LOC100509457
RFXAP	HLA-DMA
USF2	CALCA
E2F4	CAV1
USF2	CEACAM5
MYC	EIF4E
RELA	IL2RA
STAT1	IL2RA
