KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CACNA1C	INS
INS	MAPK1
MAPK1	ETS1
ETS1	SPI1
MAPK1	ELK1
ELK1	EGR1
CAMK2A	CREB1
CAMK2A	ATF2
MAPK1	NFKB1
INS	MAPK3
CAMK2A	STAT1
STAT1	MYD88
MAPK1	RELA
CALML6	HRAS
HRAS	JUN
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	TP53
HRAS	FOS
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
INS	NGFR
NGFR	TRAF6
TRAF6	IRF5
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD3
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK1	SMAD4
ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A4
NR3C2	ATP1B3
CREB3L1	FOS
RELA	BIRC7
GLI1	WNT2B
MAPK11	IL8
RBPJL	FCER2
ARNT	PDK1
ARNT	PFKFB2
SOS1	SPRY4
LEF1	MITF
RXRA	SLC27A1
RXRA	LPL
RXRA	SCD5
RXRB	CPT1B
RXRB	ACAA1
RXRB	LPL
RXRB	CD36
RXRG	DBI
MAPK8	IL8
SMAD2	PITX2
SMAD9	ID3
FOS	CCL3
IRF3	CD80
IRF5	CCL3
IRF7	IFNA7
NFYC	HLA-DQA1
MAPK9	IL1A
MAPK9	IL12A
MAPK9	IL12B
RFXAP	HLA-DOA
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
MAPK12	IL6
SP1	AKR1B1
POU2F1	AKR1C3
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
ELK1	CCT8
SP1	CD44
REL	EGFR
RELA	ELF3
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
ATF1	IL1B
CEBPB	IL1B
ETS2	IL5
POU2F1	IL5
ATF2	JUN
SP1	KRT18
NFKB1	LTA
NFKB1	PPP2R4
CEBPB	PTGS2
