KCNMA1	CACNA1C
CACNA1C	INS
INS	MAPK1
MAPK1	TP53
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
MAPK1	SMAD2
SMAD2	YAP1
INS	NR1H3
NR1H3	RXRA
CREBBP	RXRB
CREBBP	RXRG
CAMK2A	EP300
INS	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
CREBBP	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SMAD2	WWTR1
MAPK1	SMAD4
CAMK2A	CREB1
ELK1	XIAP
NFATC1	TNF
CREB3L2	IL8
CREBBP	HMOX1
CREBBP	BCL2
EP300	HMOX1
EP300	BCL2
HIF1A	HMOX1
HIF1A	PGK1
HIF1A	TIMP1
ARNT	FLT1
ARNT	HK2
ARNT	PFKFB2
YAP1	BIRC2
YAP1	ID2
YAP1	SNAI2
YAP1	AXIN1
WWTR1	BBC3
WWTR1	ITGB2
MAPK3	CCND1
EPAS1	PDGFB
EPAS1	TGFB1
NFKB2	TRAF2
RELA	NOS2
PPARA	CYP7A1
PPARA	ACSL3
PPARG	CYP27A1
PPARG	ACSL6
NFYA	LOC100509457
NFYA	HLA-DOB
RFXAP	HLA-DOA
USF2	ABCA1
USF1	CTSB
NFIC	CYP17A1
JUND	F3
FLI1	FOS
USF1	PTPN6
SP1	SERPINB2
EGR1	SOD1
NFKB1	TFPI2
EGR1	THBS1
ETV4	TNF
TFAP2A	TNPO1
USF1	TYMS
NFKB1	VWF
