KCNMA1	CACNA1C
CACNA1C	INS
INS	MAPK1
MAPK1	TP53
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
CAMK2A	CREB1
RB1	E2F2
RB1	E2F3
CREBBP	MYB
CAMK2A	FOXO1
FOXO1	RBL2
RBL2	TFDP2
CALML6	HRAS
HRAS	JUN
CAMK2A	STAT1
MAPK1	NFKB1
MAPK1	RELA
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
SMAD2	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	ESR1
INS	KIT
KIT	STAT3
KIT	STAT5A
KIT	STAT5B
CREBBP	STAT4
INS	EGFR
EGFR	SOS1
EGFR	SOS2
CAMK2A	ATF2
CAMK2A	ATF4
CREBBP	RBPJL
CREBBP	RBPJ
CREBBP	STAT2
CREBBP	STAT6
SMAD2	TFDP1
CAMK2A	CREB3
CAMK2A	ATF6B
CAMK2A	CREB3L2
CAMK2A	CREB3L1
CAMK2A	CREB5
MAPK1	SMAD3
CAMK2A	ATF1
MAPK1	ELK1
INS	PIK3R5
PIK3R5	AKT3
AKT3	IRF3
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PIK3R5	HIF1A
CAMK2A	EP300
CREBBP	ARNT
MAPK1	ETS2
HRAS	FOS
PIK3R5	MTOR
MTOR	PPARG
RBPJL	HES1
HES1	NEUROG3
NEUROG3	NEUROD1
NEUROG3	NKX2-2
NEUROG3	PAX6
INS	NGFR
NGFR	IRAK1
IRAK1	IRF7
STAT1	MYD88
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS1
IFNG	ICAM1
TNF	VCAM1
CREB3	BDNF
CREB1	BDNF
ATF2	BDNF
CREB3L4	FOSB
ATF4	FOSB
MAPK3	PDYN
ATF6B	ARC
ATF4	ARC
GLI2	WNT5A
GLI2	WNT6
GLI2	WNT7A
GLI2	WNT7B
GLI2	WNT8A
GLI2	WNT8B
GLI2	WNT5B
GLI2	PTCH2
GLI2	WNT3A
GLI3	GLI1
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
JUN	RELA
LEF1	BIRC5
LEF1	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	CCND2
ATF2	IL8
STAT1	MYD88
CREBBP	CDKN1B
CREBBP	TEK
EP300	CDKN1B
EP300	TEK
HIF1A	CDKN1B
HIF1A	TFRC
HIF1A	TIMP1
ARNT	EDN1
ARNT	ALDOA
ARNT	BCL2
ARNT	TFRC
ARNT	VEGFA
NFKB1	HIF1A
STAT3	HIF1A
YAP1	BBC3
YAP1	ID1
YAP1	ID2
YAP1	ID3
YAP1	SERPINE1
YAP1	AREGB
YAP1	AXIN1
YAP1	AXIN2
WWTR1	AFP
WWTR1	BIRC5
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID3
SMAD2	SERPINE1
SMAD4	ID1
TCF7	SNAI2
TCF7	NKD1
TCF7L2	SOX2
TCF7L2	CCND2
TEAD1	GLI2
TEAD1	SNAI2
TEAD1	CCND2
TEAD4	BIRC5
TEAD4	AXIN1
TEAD4	CCND3
TEAD3	BIRC5
TEAD3	AXIN1
TP73	BBC3
TCF7L1	AXIN1
TEAD2	CTGF
TEAD2	MYC
TEAD2	AXIN2
SMAD3	SLC2A1
SOS2	CCND3
STAT1	MYC
STAT1	SOCS3
STAT4	SOCS5
STAT5A	SOCS2
STAT5B	SOCS3
STAT6	CCND1
NKX2-2	IAPP
NEUROG3	NEUROD1
PAX6	PDX1
CREB3	MITF
LEF1	MITF
RELA	PTGS2
RELA	TNFAIP3
RELB	CCL19
PIK3R5	AKT3
PIK3CD	AKT3
PIK3CD	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PLCG1	EGFR
MYC	FIGF
MYC	PGF
RXRA	ACSBG2
RXRA	ACOX2
RXRB	FABP1
RXRB	FABP3
RXRB	ACADM
RXRB	APOC3
RXRB	PCK1
RXRB	PCK2
RXRB	ACSL5
RXRB	PLIN1
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	ACSL6
RXRG	GK
RXRG	ACAA1
RXRG	HMGCS2
RXRG	AQP7
RXRG	SLC27A1
RXRG	MMP1
RXRG	OLR1
RXRG	PLIN1
RXRG	PLTP
RXRG	UBC
RXRG	UCP1
JUN	IL6
JUN	IL12A
JUN	CCL3L3
JUN	CCL3
NFKB1	IL12B
NFKB1	CCL3L3
RELA	IL12A
RELA	IL12B
SPI1	ITGAM
SPI1	CD14
CREB1	LOC100509457
CREB1	LOC101060835
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
MAPK1	IL6
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
MAPK11	IL12A
MAPK9	IL1B
MAPK9	IL6
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
PPARG	SAT1
SP1	COL4A1
SP1	GAST
CREB1	ADRB2
JUN	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
SP1	CYP21A2
JUNB	DCN
EGR1	EGFR
NFKB1	F3
PPARG	GADD45A
RARA	GADD45A
ERG	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
ATF2	IFNG
STAT1	IFNG
USF1	IFNG
WT1	IGF2
TFAP2A	IGFBP3
CEBPD	IL1B
SPI1	IL1B
EGR4	IL2
TP53	IL8
CEBPA	ITGA2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
SPI1	NFKB1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
CREM	PLAT
TFAP2A	PLAT
ETS1	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
TP53	PTTG1
SP1	RPL15
WT1	SOD1
ETV4	SPP1
USF2	THBS1
SMAD3	TIMP1
CEBPB	TOP1
PAX2	TP53
