KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CACNA1C	INS
INS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	MYC
SMAD2	YAP1
CAMK2A	CREB1
CREBBP	MYB
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
CALML6	HRAS
HRAS	JUN
CAMK2A	STAT1
MAPK1	NFKB1
INS	KIT
KIT	STAT3
CAMK2A	ATF4
HRAS	MAPK14
MAPK14	MAX
MAPK1	RELA
RB1	E2F2
RB1	E2F3
INS	EGFR
EGFR	SOS1
EGFR	SOS2
CREBBP	STAT4
MAPK1	ETS2
CAMK2A	ATF2
CAMK2A	ATF1
CAMK2A	CREB3
CAMK2A	ATF6B
CAMK2A	CREB3L2
CAMK2A	CREB3L1
CAMK2A	CREB5
MAPK1	SMAD3
SMAD2	WWTR1
INS	NR1H3
NR1H3	RXRA
CREBBP	RXRB
CREBBP	RXRG
INS	PIK3R5
PIK3R5	HIF1A
KIT	STAT5A
KIT	STAT5B
MAPK1	ESR1
HRAS	FOS
CAMK2A	EP300
CREBBP	ARNT
CREBBP	STAT2
CREBBP	STAT6
PRKACA	PPARA
PIK3R5	AKT3
AKT3	IRF3
SMAD2	TFDP1
HRAS	MAPK8
MAPK8	JUND
TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI2	PTCH2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
JUN	CCND3
CREB3L4	PCNA
CREB3L3	PCNA
CREBBP	EPO
CREBBP	TIMP1
EP300	EPO
EP300	TIMP1
HIF1A	EPO
HIF1A	TIMP1
HIF1A	HKDC1
ARNT	EDN1
ARNT	HK2
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
LEF1	CCND2
TCF7	SNAI2
TCF7	CCND3
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
PAX6	PDX1
CREB3	MITF
LEF1	MITF
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
RELB	CCL21
PIK3CD	AKT1
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R2	AKT2
EPAS1	TGFB2
ETS1	MMP1
NFKB2	BIRC7
RELA	CCND1
CREB3	BCL2
PPARA	FABP1
PPARA	ACSL4
PPARA	LPL
PPARG	ACSL4
PPARG	GK
PPARG	PLIN1
RXRA	SLC27A1
RXRA	ACOX2
RXRB	APOC3
RXRG	FABP3
IRF7	IFNA14
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
MAPK1	IL12B
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL1B
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
CREB3L3	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
CREB1	ADRB2
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
NFKB1	B2M
GLI1	BCL2
ATF1	BCL2
CEBPA	BCL2
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM6
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
NFIC	COL1A1
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
EGR1	EGFR
PPARG	GADD45A
RARA	GADD45A
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
JUN	MMP3
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
EGR1	RELA
RARA	S100A9
SMAD2	SP1
NFIC	STMN1
ETS1	TIMP1
E2F4	TK1
EGR1	TP53
WT1	TP53
