AR	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREB1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	STAT3
MAPK1	ETS1
CREBBP	SP1
MAPK1	STAT1
MAPK1	FOS
NFKB1	TP53
PRKACA	MAPK8
MAPK8	JUND
GLI3	WNT4
ELK1	BIRC2
MAPK8	JUN
RELA	MMP9
CREBBP	ANGPT4
CREBBP	PGF
EP300	ANGPT4
EP300	PGF
HIF1A	ANGPT4
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
PAX6	GCK
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
SP1	CD9
TFAP2A	CGA
TP53	CHEK1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ERG	MMP9
ESR1	PTMA
PPARD	SERPINE1
ETS1	SLC26A3
ATF1	TG
HOXA5	TH
ETS1	TNNC1
SP3	TNNC1
PAX1	VHL
