CHRNA3	JAK2
JAK2	STAT3
STAT3	CCND1
CCND1	RBL1
RBL1	E2F4
CCND1	RB1
RB1	E2F1
JAK2	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
STAT3	PPARGC1A
PPARGC1A	PPARA
PIK3R5	AKT3
AKT3	NFKB1
NFKB1	CEBPB
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
AKT3	RELA
PIK3R5	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
AKT3	JUN
STAT3	BCL2
BCL2	TP53
PIK3R5	HRAS
HRAS	FOS
PIK3R5	MTOR
MTOR	PPARG
RB1	E2F2
RB1	E2F3
JAK2	PTPN11
PTPN11	MAPK1
MAPK1	ETS1
MAPK9	SMAD4
CREBBP	PFKFB2
EP300	PFKFB2
HIF1A	PFKFB2
CREB3L1	MITF
MAPK1	CDK4
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
EPAS1	TGFA
FOS	VEGFA
MAX	CKS2
NFKB2	TRAF4
CREB3L3	MCL1
PPARA	ACSL1
PPARD	PDPK1
PPARG	ACSBG1
RXRA	FABP3
NFYB	HLA-DQB1
NFYB	HLA-DRA
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
RFXAP	LOC100509457
RFXAP	HLA-DMA
POU2F1	REL
USF1	XRCC6
PPARG	GADD45A
RARA	GADD45A
USF2	SERPINE1
ATF1	TH
NFKB1	TNNC1
ETV4	VIM
