CHRNA3	JAK2
JAK2	PIK3R5
PIK3R5	AKT3
AKT3	JUN
JAK2	STAT3
JAK2	STAT1
STAT3	MYC
STAT3	ESR1
ESR1	SP1
JAK2	PTPN11
PTPN11	MAPK1
MAPK1	SMAD3
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ETS1
PIK3R5	HRAS
HRAS	FOS
STAT3	BCL2
BCL2	TP53
AKT3	PPP1CA
PPP1CA	YAP1
PIK3R5	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
AKT3	NFKB1
AKT3	RELA
PTPN11	SOS1
PTPN11	SOS2
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
AKT3	CREB1
STAT3	CCND1
CCND1	RBL1
RBL1	E2F4
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
PTPN11	MAPK3
MYC	MAX
MAPK1	SMAD4
HIF1A	ARNT
NFKB1	MYB
HRAS	MAPK8
MAPK8	JUND
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
LEF1	PPARD
CREBBP	RBPJL
CREBBP	RBPJ
MAPK8	JUNB
MAPK1	ELK1
ELK1	EGR1
STAT1	MYD88
AKT3	ATF2
AKT3	ATF4
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	MTOR
MTOR	PPARG
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD2
AKT3	ATF6B
AKT3	CREB5
STAT3	PPARGC1A
PPARGC1A	PPARA
CREB3	ATF1
NFKB1	CEBPB
CREBBP	EPAS1
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
JUP	MYC
CREB5	BDNF
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	PTCH1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
NPAS2	RORA
NPAS2	RORB
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
NPAS2	NR1D1
CLOCK	CRY1
CLOCK	CRY2
CLOCK	PER1
CLOCK	RORA
CLOCK	RORB
CLOCK	PER2
FOSB	NFKB1
JUN	NFKB1
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
JUN	CXCL1
NFKB1	CCL5
MAPK12	IL8
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
CTNNB1	CCND2
CREB3	PCNA
ATF6B	IL8
EGR3	FASLG
MAPK8	JUN
MAPK10	SMAD4
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	FIGF
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	VEGFB
EP300	ENO1
EP300	FIGF
EP300	ANGPT4
EP300	PFKFB4
EP300	VEGFB
HIF1A	ENO1
HIF1A	FIGF
HIF1A	ANGPT4
ARNT	EDN1
ARNT	EGF
ARNT	FIGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
FOXO1	PCK1
SOS1	SPRY1
SOS1	SPRY2
SOS1	SPRED1
SOS1	SPRED3
SOS1	MYC
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5B	MYC
PAX6	GCK
HNF1A	HNF4G
MAPK3	CDK4
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
