ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
PDE4B	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
RYR1	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
PDE5A	HPRT1
HPRT1	PDE3B
PDE6C	HPRT1
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE6A	HPRT1
PDE6B	HPRT1
PRKDC	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
PIK3CD	HIF1A
HIF1A	CREBBP
PIK3CA	HIF1A
PIK3CB	HIF1A
ITPR1	CAMK2A
ITPR2	CAMK2A
ITPR3	CAMK2A
ATM	TP53
MAPK9	IL18
