PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ESR1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
MAPK8	JUN
PRKACA	CREB1
PRKACA	XBP1
XBP1	CEBPA
MAPK8	TP53
PRKACA	NFKB1
SMAD3	YAP1
PRKACA	RELA
MAPK8	ELK1
MAPK8	FOSB
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
MAPK1	MYC
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	ETS2
NFKB1	HIF1A
MAPK1	STAT1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT3
MAPK1	ETS1
CEBPA	E2F1
MAPK8	SMAD4
PRKACA	EP300
CREBBP	ARNT
PRKACA	ATF2
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK8	JUND
NFKB1	MYB
RAPGEF3	MAPK14
MAPK14	CEBPB
LEF1	PPARD
CREBBP	RXRB
CREBBP	RXRG
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK8	FOS
CREBBP	STAT5A
CREBBP	STAT5B
CEBPA	E2F2
CEBPA	E2F3
ELK1	EGR1
PRKACA	ATF1
ELK1	SPI1
PRKACA	ATF4
CREB3L1	CRH
ATF6B	ARC
ATF4	ARC
CREB5	PDYN
GLI1	HHIP
GLI1	WNT5B
GLI3	PTCH1
GLI3	HHIP
SMAD4	CDKN2B
TFDP1	CCNE2
TFDP2	CCNE2
TP53	GADD45G
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
JUN	RELA
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
ELK1	XIAP
EGR3	FASLG
FOS	MMP9
NFATC2	TNF
MAPK8	JUN
CREB3L2	IL8
CREBBP	FIGF
CREBBP	GAPDH
CREBBP	LDHA
CREBBP	ANGPT4
CREBBP	BCL2
EP300	FIGF
EP300	GAPDH
EP300	LDHA
EP300	ANGPT4
EP300	BCL2
HIF1A	FIGF
HIF1A	GAPDH
HIF1A	LDHA
HIF1A	ANGPT4
HIF1A	TFRC
HIF1A	VEGFA
ARNT	EDN1
ARNT	EGF
ARNT	PFKFB1
ARNT	PFKFB3
ARNT	PGK1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	ID3
YAP1	AREGB
YAP1	AXIN2
WWTR1	BIRC5
WWTR1	AREG
SMAD2	SERPINE1
LEF1	CCND2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
TP73	BBC3
TEAD2	CTGF
FOXO1	PCK1
STAT4	CCND3
STAT5B	CCND2
PAX6	PDX1
HNF1A	HNF4G
MAPK3	CCND1
EPAS1	TGFB1
FOS	CDK4
MYC	CDK4
NFKB1	TRAF5
RELA	NOS2
FOXO3	RBL2
PPARA	ACSL3
PPARD	CPT1B
PPARG	ACSL6
RXRA	CYP7A1
RXRB	MMP1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DQA1
NFYC	HLA-DQA2
MAPK3	IL18
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK10	IL18
RFX5	LOC100507709
RFX5	HLA-DOA
RFX5	HLA-DOB
RFX5	HLA-DQA1
RFX5	HLA-DQA2
MAPK12	IL1B
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
SP1	CDK1
SP1	CDKN1C
SP1	REL
CEBPA	ABCB1
CEBPB	ABCB1
CREB1	ADRB2
TP53	CAV1
ELK1	CCT8
SP1	CD14
SP3	CD14
EGR1	CD44
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
REL	CSF2
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
REL	CSRP1
USF1	CTSB
USF2	CTSB
SP1	CTSL
JUN	CYP11A1
SP1	DKC1
SP3	DKC1
ETS1	DNTT
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
