HRH2	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	ATF2
PRKACA	CREB1
GNAS	SRC
SRC	RAC1
RAC1	RELA
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
SRC	HRAS
HRAS	JUN
HRAS	FOS
RAC1	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
BBC3	TP53AIP1
TP53	RRM2
MYD88	IFNA13
SP1	CDKN1C
SP3	COL2A1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
ERG	HMOX1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
