HTR4	GNAS
GNAS	GNB5
GNB5	MAPK8
MAPK8	JUND
GNAS	SRC
SRC	HRAS
HRAS	FOS
GNB5	MAPK1
MAPK1	TP53
SRC	STAT3
STAT3	ESR1
ESR1	SP1
HRAS	JUN
MAPK1	ETS1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	ATF2
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
PRKACA	XBP1
XBP1	CEBPA
STAT3	MYC
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK8
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ATF2
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
MAPK1	STAT3
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
MAPK1	MYC
GLI3	WNT16
NPAS2	BHLHE41
TCF7L2	CCND1
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
MITF	TYR
RELA	CCL4
RELB	CXCL12
PIK3R2	AKT1
PIK3R2	PDPK1
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
CREB1	ARG1
ELK1	CCT8
ATF4	CGA
CREB1	CGA
JUN	MMP7
CEBPA	PCK2
TP53	PLK1
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
