ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
MAPK1	SMAD3
MAPK1	SMAD4
PIK3R5	AKT3
AKT3	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PPP1CA	WWTR1
MAPK1	TP53
SMAD2	E2F4
MAPK1	ESR1
SMAD2	TFDP1
PRKCA	CREB1
MAPK1	ELK1
AKT3	RELA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	STAT3
AKT3	JUN
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	ETS2
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HIF1A	EP300
HIF1A	ARNT
AKT3	NFKB1
NFKB1	CEBPB
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	ETS1
PRKCA	FOS
PIK3R5	GSK3B
GSK3B	MYC
MAPK1	STAT1
CREB1	PCNA
SMAD3	MYC
MAPK9	SMAD4
CREBBP	CDKN1A
CREBBP	HK1
CREBBP	PFKFB2
EP300	CDKN1A
EP300	HK1
EP300	PFKFB2
HIF1A	CDKN1A
HIF1A	HK1
HIF1A	PFKFB2
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
PAX6	PDX1
MAPK3	CDK4
MAPK3	CCND1
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RBPJL	PTCRA
HIF1A	PDGFB
HIF1A	TGFB1
NFKB2	BIRC7
RELA	NOS2
CREB1	BCL2
PPARA	FABP1
PPARA	ACSL3
PPARA	ACOX1
PPARG	ACSL4
PPARG	ACSL6
PPARG	UCP1
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
MAPK3	IL18
MAPK8	IL1B
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
CREB3L2	AQP2
CREB3L3	AQP2
POU2F2	REL
SP1	COL4A2
SP3	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
CREB1	ADRB2
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
USF2	CTSB
SP1	CTSL
NFKB1	CYP11A1
SP1	CYP11A1
STAT1	EGFR
SP1	RPL10
SPI1	SCARB2
USF2	SERPINE1
ETS2	SPP1
EGR1	TFPI2
ATF1	TH
JUND	TIMP1
EGR4	TNF
NFKB1	TNNC1
NFKB1	TP53
JUN	TXN
ETV4	VIM
NFKB1	VWF
