ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	JUN
PIK3R5	GSK3B
GSK3B	MYC
PRKCA	MAPK1
MAPK1	ESR1
PRKCA	FOS
MAPK1	ETS1
PRKCA	MAPK3
PIK3R5	HRAS
HRAS	MAPK14
MAPK14	MAX
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
PRKCA	CREB1
AKT3	NFKB1
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
MAPK1	STAT1
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	STAT3
AKT3	FOXO3
MAPK1	ELK1
AKT3	RELA
AKT3	PPP1CA
PPP1CA	YAP1
MAPK1	SMAD3
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
EGFR	STAT5A
EGFR	STAT5B
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
HIF1A	EP300
HIF1A	ARNT
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
EGFR	SOS1
EGFR	SOS2
STAT5A	STAT2
STAT5A	STAT4
STAT5A	STAT6
AKT3	FOXO1
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	ETS2
PRKCA	ATF2
NFKB1	MYB
PRKCA	CREB3
CREB3	ATF1
NFKB1	CEBPB
ELK1	EGR1
PRKCA	ATF4
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
JUP	MYC
CREB3L3	NPY
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
RBPJ	CR2
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
LEF1	BIRC2
LEF1	AXIN1
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
FOXO1	G6PC2
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
CREB3L4	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	FIGF
NFKB1	VEGFC
RELA	PGF
STAT3	VEGFA
STAT3	VEGFB
EPAS1	SLC2A1
ETS1	MMP1
ETS1	VEGFB
FOS	PGF
JUN	MMP2
JUN	PGF
MYC	VEGFC
NFKB1	CCND1
NFKB2	XIAP
NFKB2	CCND1
NFKB2	TRAF6
CREB3	BCL2
FOXO3	CDKN1B
FOXO3	PCK1
CREB3L2	BCL2
CREB5	MCL1
PPARA	SLC27A4
PPARA	EHHADH
PPARA	LPL
PPARA	ACSBG2
PPARA	FADS2
PPARD	ANGPTL4
PPARD	ACOX3
PPARG	SLC27A4
PPARG	ACSL3
PPARG	PLIN1
RXRA	APOA5
RXRA	CPT1B
RXRA	FABP1
RXRA	ACADL
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DQA1
NFYB	HLA-DRB1
NFYC	HLA-DQA2
MAPK3	IL18
MAPK3	NOS2
MAPK3	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MAPK12	IL1A
MAPK12	IL1B
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
CREB3L2	AQP2
CREB3L3	AQP2
NFAT5	PTGS2
PPARG	SAT1
SP3	ABCA1
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM6
TFAP2A	COL1A1
EGR1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
USF2	CTSB
SP1	CTSL
SP3	CTSL
PAX5	FCER2
CEBPA	FN1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
TFAP2A	HMOX1
CEBPB	HP
SP1	IL2
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
NFIC	POLE2
ETV4	PTGS2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
