ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	CREB1
MAPK1	SMAD2
SMAD2	E2F4
PIK3R5	AKT3
AKT3	JUN
PRKCA	ATF2
PRKCA	ATF4
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
AKT3	NFKB1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	GSK3B
GSK3B	MYC
AKT3	RELA
MAPK1	ELK1
ELK1	EGR1
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	ETS2
CREB3	ATF1
AKT3	PPP1CA
PPP1CA	YAP1
MAPK1	ETS1
NFKB1	MYB
AKT3	CHUK
CHUK	NFKB2
MAPK1	SMAD4
HIF1A	EP300
HIF1A	ARNT
PRKCA	FOS
MAPK1	ESR1
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
MAPK1	STAT1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
GLI3	WNT5A
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	CCND1
ATF4	PCNA
CREB3L2	PCNA
CREBBP	HK3
CREBBP	SLC2A1
EP300	HK3
EP300	SLC2A1
HIF1A	HK3
HIF1A	PGK1
HIF1A	TIMP1
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB2
ARNT	PFKFB3
ARNT	PFKL
YAP1	BIRC2
YAP1	ID2
YAP1	SNAI2
YAP1	AXIN1
WWTR1	BBC3
WWTR1	ITGB2
SOS1	SPRY3
STAT5A	SOCS1
STAT5B	SOCS7
STAT6	PIM1
PAX6	PDX1
CREB3	MITF
MITF	TYRP1
MAPK3	CDK4
VDR	SLC34A2
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES1
TP53	SERPINE1
TP53	GTSE1
TP53	BAI1
EPAS1	PDGFB
FOS	FIGF
FOS	VEGFB
NFKB2	TRAF2
ATF4	MCL1
CREB3L1	MCL1
PPARA	CYP7A1
PPARD	FABP3
PPARD	UCP1
PPARG	CYP27A1
RXRA	CYP8B1
RXRA	ACSL3
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
RXRB	ANGPTL4
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA21
NFYA	LOC100507714
NFYA	LOC100509457
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
MAPK3	NOS2
MAPK3	IL23A
MAPK9	TNF
RFXAP	HLA-DOA
MAPK12	IL1A
RFXANK	HLA-DMA
CREB3L3	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CDKN1C
SP1	COL4A2
USF1	ABCA1
USF2	ABCA1
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
TFAP2A	ADM
CREB1	ADRB2
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ELK1	CCT8
SP1	CD14
SP3	CD14
SP1	CDKN1A
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
SP1	DKC1
SP3	DKC1
ETS1	DNTT
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
ERG	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
JUN	MT1A
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTPN6
JUN	SERPINB2
SP1	SOD1
NFIC	TFPI2
USF1	THBS1
ETS1	TNF
E2F4	TOP1
TP53	TYMS
NFKB1	VWF
