HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	RAF1
RAF1	NFKB1
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
GLI3	HHIP
CREB1	MITF
LEF1	MITF
EPAS1	VEGFB
ETS1	CDK4
PIAS2	CDKN2B
IRF8	IL12B
CREB3L4	MCL1
PPARA	HMGCS2
PPARA	APOA2
PPARA	SCP2
PPARG	MMP1
PPARG	PCK1
RXRA	NR1H3
RXRB	OLR1
RXRB	PCK1
RXRG	FABP3
RXRG	ACSL4
RXRG	ACSL6
RXRG	APOC3
RXRG	AQP7
RXRG	PDPK1
RXRG	PLIN1
IRF7	IFNA21
JUN	IL6
JUN	CCL4L1
NFKB1	IL12B
CEBPA	PER2
SPI1	ITGAM
RFXAP	HLA-DPB1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRB4
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
FLI1	MMP9
