CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	MAPK1
MAPK1	TP53
PRKACA	XBP1
XBP1	CEBPA
PRKCA	MTOR
MTOR	PPARG
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MAPK1	MYC
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKCE	MAPK8
MAPK8	TP53
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	MTOR
MAPK8	SMAD3
SMAD3	SP1
PRKCE	ARAF
ARAF	MAPK1
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
GLI3	BMP2
STAT4	SOCS2
EPAS1	PGF
FOS	CDK4
NFKB1	TRAF5
NFKB2	TRAF3
FOXO3	RBL2
PPARA	CYP8B1
PPARD	CPT1B
PPARG	FABP4
RXRA	CYP7A1
RXRA	ACADM
NFKB1	IL1A
NFYA	HLA-DMA
NFYA	HLA-DQB1
NFYA	HLA-DRB4
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK9	NOS2
ETS2	TWF2
FLI1	POLR2A
FOS	PLAUR
JUN	ABCA1
SP1	ADA
SP3	CD14
ETV4	ERBB2
PPARA	MMP9
