SOAT1	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK1	ESR1
PRKCE	RAF1
RAF1	NFKB1
MAPK8	JUN
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
SMAD3	E2F4
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
MAPK8	TP53
PLCB1	PIK3R5
PIK3R5	HIF1A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
RAF1	RELA
MAPK8	ELK1
ELK1	EGR1
PRKCE	PPP1CA
PPP1CA	CREB1
NFKB1	NFKB2
PPP1CA	YAP1
MAPK8	FOS
MAPK8	JUNB
PLCB1	EGFR
EGFR	SOS1
EGFR	SOS2
MAPK8	JUND
MAPK8	SMAD4
MAPK1	ETS1
NFKB1	MYB
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKCD	MAP3K1
MAP3K1	CHUK
CHUK	RELB
SMAD3	SMAD7
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	MTOR
MTOR	PPARG
MYC	ZBTB17
MYC	PIAS2
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
RXRA	RARB
PRKACA	PPARA
MAPK1	SMAD2
ANPEP	GGT1
GGT1	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
SMAD2	SP1
PRKCA	RAF1
PRKCA	HRAS
HRAS	JUN
GGT1	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
SMAD2	E2F4
MAPK1	SMAD3
JAK2	STAT1
MAPK1	TP53
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
MAPK1	ELK1
PRKCA	CREB1
SMAD2	YAP1
PRKCA	FOS
HRAS	MAPK8
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
PRKCA	MAP3K1
SMAD2	SMAD7
PRKCA	PRKACA
PRKCA	PAX8
PAX8	RXRA
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	PTCH1
GLI3	BMP4
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
NPAS2	PER2
CLOCK	RORC
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND3
ELK1	XIAP
CREB3	PCNA
CREBBP	FASLG
NFATC2	TNF
MAPK8	JUN
MAPK9	JUN
RELA	IL6
CREB3L2	IL8
CREB3L1	PCNA
CREBBP	EGF
CREBBP	LDHA
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PFKL
CREBBP	BCL2
