DNMT1	AHCYL1
AHCYL1	CBSL
CBSL	AGXT
AGXT	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
NOS1	HRAS
HRAS	JUN
MAPK1	MYC
MAPK1	NFKB1
SMAD2	E2F4
MAPK1	RELA
NFKB1	MYB
MAPK1	STAT1
MAPK1	ESR1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	STAT3
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	SMAD3
NOS1	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
GATM	NOS3
NOS3	CREB1
NOS3	CREB3
CREB3	CREBBP
CREBBP	RBPJL
CREBBP	RBPJ
HRAS	FOS
MAPK1	ETS1
HRAS	MAPK14
MAPK14	MAX
HRAS	PIK3R5
PIK3R5	HIF1A
NOS3	ATF4
NOS3	ATF2
JUP	MYC
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
EP300	SERPINE1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT5A	MYC
STAT5A	SOCS2
STAT6	SOCS7
STAT6	CCND1
PAX6	PDX1
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
RXRA	ACADL
MAPK1	IL6
MAPK9	NOS2
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
PPARG	SAT1
USF2	ABCA1
CREB1	ADRB2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	DKC1
SP3	DKC1
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
NFIC	POLE2
ERG	TNNC1
