SMO	STK36
STK36	GLI1
GLI1	BMP2
BMP2	ACVR1
ACVR1	MAPK1
MAPK1	JUN
GLI1	WNT16
WNT16	FZD10
FZD10	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ACVR1	SMAD2
SMAD2	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
ACVR1	MAPK3
MAPK1	FOS
MAPK1	MYC
MAPK1	STAT3
MAPK1	ELK1
MAPK1	CREB1
FZD10	PLCB1
PLCB1	EGFR
EGFR	SOS1
EGFR	SOS2
MAPK1	STAT1
CTNNB1	CREBBP
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
MAPK1	NFKB1
MAPK1	RELA
ACVR1	MAPK14
ACVR1	MAPK11
ACVR1	MAPK13
MAPK1	ETS1
PLCB1	PRKCA
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
STAT1	MYD88
SMAD2	SP1
FZD10	GNAO1
GNAO1	MAPK8
GNAO1	MAPK9
GNAO1	MAPK10
MAPK14	MAX
MAPK1	TP53
PLCB1	CAMK2A
CAMK2A	ATF1
MAPK14	CEBPB
MAPK1	ESR1
PLCB1	PRKCQ
PRKCQ	IKBKG
IKBKG	TBK1
TBK1	REL
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	NFKB2
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
CREBBP	HIF1A
NFKB1	TRAF6
TRAF6	IRF5
CTNNB1	EP300
ELK1	EGR1
MAPK1	ATF4
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	CREB5
SMAD2	WWTR1
ETS1	SPI1
CREBBP	ARNT
SMAD2	E2F4
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
ATF6B	FOS
ATF4	FOS
GLI3	HHIP
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
ARNTL	BHLHE40
NPAS2	RORA
NPAS2	RORB
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
NPAS2	NR1D1
CLOCK	CRY1
CLOCK	CRY2
CLOCK	PER1
CLOCK	RORA
CLOCK	RORB
JUN	NFKB1
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	CCND1
TCF7L1	CCND1
MAPK14	IL8
RBPJL	FGR
RBPJ	FGR
TP53	MDM2
ATF6B	IL8
CREBBP	ENO1
EP300	ENO1
HIF1A	ENO1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	TIMP1
ARNT	EDN1
ARNT	FIGF
ARNT	HK2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
