DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	ETS1
MAPK1	MYC
GNAI1	HRAS
HRAS	JUN
MAPK1	RELA
HRAS	FOS
MAPK1	SMAD2
SMAD2	E2F4
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
DRD1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	MAPK1
RAF1	RELA
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
CALM1	HRAS
CALM1	CAMK2A
CREBBP	ARNT
CALM1	ADCY1
CALM2	HRAS
CALM2	CAMK2A
CALM2	ADCY1
CALM3	HRAS
CALM3	CAMK2A
CALM3	ADCY1
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
JUN	CCND3
CREB3L3	PCNA
CREBBP	TIMP1
EP300	TIMP1
VDR	TRPV6
NFKB1	GADD45B
RELA	BCL2A1
RELA	TRAF2
RELB	CCL21
PIK3CD	AKT1
PIK3CG	AKT3
PIK3R2	AKT2
PIK3R3	AKT3
MAPK9	TNF
MAPK10	IL6
LEF1	ADA
SP1	CD99
PPARG	GADD45A
SMAD7	HMOX1
STAT3	HMOX1
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
EGR1	RELA
SMAD2	SP1
ETS1	TIMP1
EGR1	TP53
