RRM1	PKM
PKM	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	MYC
PRKACA	NFKB1
NFKB1	HIF1A
PKM	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	EP300
CREBBP	ARNT
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT3
MAPK8	JUN
PRKACA	CREB1
NFKB1	MYB
MAPK8	FOXO3
MAPK8	FOS
PPP1CA	WWTR1
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK8	ELK1
ELK1	EGR1
PRKACA	ATF3
MAPK1	STAT1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ETS1
TYMS	ITPA
ITPA	ADCY1
ITPA	NPR1
CMPK1	ITPA
CMPK1	UMPS
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	STAT1
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	BCL2
HIF1A	TIMP1
ARNT	EPO
ARNT	GAPDH
ARNT	HK2
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
YAP1	ID2
YAP1	MYC
YAP1	AXIN1
WWTR1	CTGF
WWTR1	ITGB2
SMAD1	ID2
SMAD4	CTGF
TEAD1	AXIN2
TEAD3	GLI2
FOXO1	PCK1
FOXO1	FBP2
PAX6	IAPP
CREB3	MITF
TCF7L2	MITF
TCF7L1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	FIGF
EPAS1	PGF
NFKB2	TRAF3
PPARA	CYP8B1
PPARG	FABP4
MYD88	IFNA21
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
NFYA	HLA-DPB1
MAPK3	IL23A
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK10	IL12B
RFX5	LOC100507709
RFXAP	CD74
MAPK12	IL1B
SP1	COL4A2
SP1	COL4A1
USF1	ABCA1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ATF4	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
NFKB1	CSF3
RELA	CSF3
ETS1	CSNK2A1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
USF1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUN	FOSL1
CREB1	HMOX1
TFAP2A	HMOX1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
POU2F1	VWF
