CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	PPP1CA
PPP1CA	YAP1
PRKCE	MAPK8
MAPK8	JUN
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
PLCB1	EGFR
EGFR	SOS1
EGFR	SOS2
MAPK8	ELK1
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK8	SMAD3
SMAD3	SP1
SMAD3	E2F4
SMAD3	TFDP1
TFDP1	E2F1
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
TFDP1	E2F2
TFDP1	E2F3
PRKACA	PPARA
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PPP1CA	CREB1
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
JUN	NFKB1
LEF1	MYC
TCF7	BIRC5
HIF1A	BCL2
HIF1A	TIMP1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
ETS1	MMP1
FOS	MMP2
CREB3	BCL2
CREB3L2	MCL1
PPARA	LPL
PPARD	ACOX1
PPARG	PLIN1
RXRA	FABP4
RXRB	ACSL6
NFYB	HLA-DOB
NFYB	HLA-DQB1
NFYC	HLA-DQA2
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
SP3	CCND1
USF1	CCND1
USF1	CHI3L1
MYBL2	COL1A1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
CREB1	PLAT
EGR1	PLAU
ETS2	PLAU
POU2F1	VWF
