HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	MYC
MAPK1	CREB1
MAPK1	ETS1
HRAS	JUN
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	MAPK1
PRKACA	CREB1
MAPK8	JUN
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
USF2	CEACAM6
ATF1	CGA
NFIC	CYP17A1
ESR1	FOS
ESR2	FOS
ETS2	FOS
POU2F1	HIST2H2BE
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
