HRH1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	JUN
MAPK1	ETS1
MAPK1	CREB1
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	ELK1
ELK1	EGR1
HRAS	FOS
HRAS	MAPK8
MAPK8	JUND
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
MAPK1	STAT3
MAPK8	JUNB
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ESR1
CAMK2A	ATF1
SMAD4	LEF1
LEF1	PPARD
PDE4A	ADCY1
ADCY1	PRKACA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	JUN
PRKACA	MAPK1
PRKACA	CREB1
MAPK8	SMAD3
MAPK8	SMAD4
MAPK8	ELK1
MAPK8	FOS
SMAD3	YAP1
PRKACA	PRKAG2
PRKAG2	MTOR
PRKACA	RELA
PRKACA	ATF1
PRKACA	CTNNB1
CTNNB1	LEF1
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRA
PRKCA	MAPK1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PRKCA	CREB1
PRKCA	FOS
PRKCA	HRAS
AKT2	PPP1CA
PPP1CA	YAP1
PRKCA	PRKACA
GSR	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
AKT2	NFKB1
AKT2	RELA
CREB3	ATF1
GLI3	BMP2
ELK1	BIRC2
EGR3	FASLG
SMAD3	MYC
NFKB1	TNF
MAPK8	JUN
RELA	MMP9
CREBBP	FIGF
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PGF
EP300	FIGF
EP300	HK1
EP300	SERPINE1
EP300	ANGPT4
EP300	PGF
HIF1A	FIGF
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PGK1
HIF1A	VEGFC
ARNT	EGF
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PFKL
ARNT	PGK1
STAT4	SOCS2
STAT5B	SOCS1
HNF1A	HNF4G
LEF1	MITF
FOS	CDK4
NFKB1	TRAF5
MAPK9	IL12A
MAPK9	IL12B
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	HLA-DOA
RFXANK	HLA-DMB
RFXANK	HLA-DOA
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
SP1	CAV1
ATF4	CGA
CREB1	CGA
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARD	GADD45A
PPARA	MMP9
ESR1	PTMA
RARG	S100A9
SPI1	SCARB2
PPARA	SERPINE1
PPARD	SERPINE1
ETS1	SLC26A3
TFAP2A	TAF7
EGR1	TFPI2
JUN	TFRC
ATF1	TG
HOXA5	TH
ATF1	TNF
EGR4	TNF
ERG	TNNC1
ETS1	TNNC1
SP3	TNNC1
CREB1	TRH
JUN	TXN
HIF1A	VHL
PAX1	VHL
NFKB1	VWF
