PTGFR	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	MAPK1
MAPK1	CREB1
MAPK1	STAT3
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT4
MAPK1	SMAD2
SMAD2	SP1
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	AKT3
AKT3	IRF3
MAPK1	TP53
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
HRAS	JUN
HRAS	FOS
MAPK1	ETS1
ETS1	SPI1
STAT1	MYD88
STAT3	STAT2
STAT3	STAT6
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
DVL1	NOTCH1
NOTCH1	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
HRAS	MAPK3
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
MAPK1	ELK1
ELK1	EGR1
NFKB1	TRAF6
TRAF6	IRF5
MAPK14	CEBPB
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
PRKACA	XBP1
XBP1	CEBPA
MAP3K1	CHUK
CHUK	IRF7
MAPK1	FOXO3
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ESR1
PRKACA	PDX1
PDX1	HNF4A
GSK3B	ARNTL
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
MAPK1	MYC
CREBBP	EPAS1
MYD88	VDR
MAPK1	FOXO1
EGFR	CTNNB1
CTNNB1	HNF1A
SMAD2	E2F4
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
CREB3L3	FOS
CREB3L1	FOS
CREB3L1	PDYN
NFKB1	BCL2L1
NFKB1	BIRC7
RELA	BIRC8
RELA	XIAP
RELA	BIRC7
GLI1	WNT16
GLI1	WNT5A
GLI1	WNT6
GLI1	WNT7A
GLI1	WNT8B
GLI1	WNT2B
GLI1	WNT9A
GLI2	PTCH1
GLI2	HHIP
GLI2	BMP2
GLI3	WNT10B
GLI3	WNT11
NR1H4	ABCC2
NR1H4	SLC51A
E2F3	CCNE2
SMAD2	CDKN1A
ARNTL	PER3
NPAS2	CRY1
LEF1	CCND1
VDR	SLC8A1
VDR	CALB1
MAPK11	IL8
RBPJL	FCER2
NFAT5	TNF
ATF2	PCNA
EP300	FASLG
NFATC4	TNF
MAPK8	SMAD4
CREB5	IL8
CREBBP	EDN1
CREBBP	FLT1
CREBBP	NOS2
CREBBP	PDK1
CREBBP	VEGFC
EP300	EDN1
EP300	FLT1
EP300	NOS2
EP300	PDK1
EP300	VEGFC
HIF1A	EDN1
HIF1A	FLT1
HIF1A	NOS2
HIF1A	PDK1
ARNT	CDKN1A
ARNT	ENO2
ARNT	ALDOA
ARNT	SLC2A1
ARNT	TFRC
ARNT	VEGFB
NFKB1	HIF1A
YAP1	CTGF
YAP1	BBC3
YAP1	ITGB2
YAP1	SERPINE1
YAP1	CCND2
WWTR1	AFP
WWTR1	AREGB
SMAD1	ID3
SMAD3	CTGF
SMAD4	ID1
LEF1	SNAI2
LEF1	AXIN2
TEAD1	BIRC2
TEAD1	MYC
TEAD1	SNAI2
TEAD1	CCND3
TEAD4	GLI2
TEAD4	BIRC5
TEAD4	NKD1
TEAD4	CCND3
TEAD3	MYC
TEAD3	SNAI2
TEAD3	AXIN1
TCF7L1	SNAI2
TCF7L1	AXIN1
TEAD2	BIRC2
TEAD2	MYC
TEAD2	NKD1
TEAD2	CCND3
SMAD3	SLC2A1
SOS1	BCL2L1
SOS1	SPRY4
SOS2	SPRY1
SOS2	SPRED1
SOS2	SPRED2
SOS2	SPRED3
SOS2	BCL2L1
SOS2	SPRY4
STAT1	CCND3
STAT2	SOCS4
STAT2	SOCS7
STAT2	MYC
EP300	MITF
CREB3L2	MITF
CREB3L3	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
NFKB2	CXCL12
RELA	NFKB2
RELA	TRAF1
RELB	TNFSF13B
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CD	PDPK1
PIK3CG	AKT2
PLCG2	EGFR
PIK3R3	AKT2
TP53	TP53I3
NFKB1	PGF
RELA	FIGF
STAT3	VEGFC
EPAS1	VEGFB
FOS	IL8
FOS	MMP2
NFKB1	TRAF6
NFKB2	BIRC8
NFKB2	BCL2
PIAS2	CDKN2B
NFKB1	MYB
CREB3L2	MCL1
PPARA	APOA5
PPARA	HMGCS2
PPARD	ILK
PPARD	ACOX1
PPARG	CPT1C
PPARG	MMP1
RXRA	DBI
RXRA	FABP4
RXRA	SCP2
RXRA	SCD5
RXRA	ACSBG2
RXRA	ADIPOQ
RXRA	CD36
RXRB	CPT1C
RXRB	CPT1B
RXRB	CPT2
RXRB	CYP27A1
RXRB	GK
RXRB	ACAA1
RXRB	ACADL
RXRB	APOA2
RXRB	ACADM
RXRB	LPL
RXRB	ACOX1
RXRB	ACOX2
RXRB	CD36
RXRG	NR1H3
RXRG	CPT1C
RXRG	DBI
EGR1	CCL5
MAPK8	IL8
MAX	CCND1
SMAD2	PITX2
SMAD5	ID3
SMAD9	ID3
FOS	IL12A
FOS	CCL3
FOS	CCL4L1
IRF3	CD80
IRF5	IL8
IRF5	CCL3
IRF7	IFNA2
IRF7	IFNA7
CREB1	HLA-DPA1
CREB1	HLA-DPB1
CREB1	HLA-DQA1
CREB1	HLA-DQA2
CREB1	HLA-DQB1
NFYA	LOC101060835
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
MAPK11	IL18
MAPK11	NOS2
MAPK11	TNF
RFXAP	HLA-DRA
SP1	ADA
SP1	AKR1B1
POU2F1	AKR1C3
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
USF1	APEX1
USF2	B2M
TP53	BAK1
TP53	CAV1
ELK1	CCT8
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
PPARG	CDKN1A
STAT1	EGFR
PPARG	GADD45A
RARA	GADD45A
PPARD	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
NFKB1	HMOX1
NFIC	HSPA1A
SP1	HSPA8
SP1	HSPB1
JUNB	IVL
ATF2	JUN
CREB1	JUN
SMAD3	JUN
SMAD4	JUN
SP1	JUN
SP3	KLK3
SP1	KRT18
SP1	KRT5
EGR1	LHB
SP3	LHB
PPARA	LIPA
USF1	LIPC
NFKB1	LTA
ETS1	LYZ
HIF1A	MDK
JUN	MGP
RARA	MIF
ETS1	MYB
ETV4	MYB
MYB	MYC
MYBL2	MYC
E2F4	MYCN
SP3	MYCN
ATF1	NTS
JUN	NTS
ETS1	PLAU
JUN	POLD2
NFIC	POLD2
NFKB1	PPP2R4
CEBPB	PTGS2
TP53	RELA
RELA	S100A6
TP53	S100B
