ADRA2A	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	RAF1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	MAPK1
MAPK1	ETS1
RAF1	NFKB1
DDC	IDO2
IDO2	CYP1A2
CYP1A2	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRA
DDC	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	MAPK1
MAPK1	RELA
ASS1	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
CREBBP	ARNT
MAPK1	NFKB1
NFATC4	TNF
MAPK10	JUN
CREBBP	NOS2
CREBBP	PFKFB3
EP300	NOS2
EP300	PFKFB3
HIF1A	NOS2
HIF1A	PFKFB3
RELA	VEGFC
STAT1	FIGF
MAPK9	IL1A
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	HLA-DQA2
E2F1	CDC45
STAT1	EGFR
EPAS1	SERPINE1
JUN	SFTPA1
ATF1	TFRC
CREB1	TH
SP3	TNF
SMAD2	TNNC1
ESR1	UBE2L3
ERG	VWF
