PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	MAPK1
MAPK1	ETS1
MAPK1	MYC
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK1	ETS2
CREBBP	SP1
NFAT5	TNF
CREB1	IL8
CREB5	IL8
CREB5	PCNA
CREBBP	VEGFC
CREBBP	HKDC1
EP300	VEGFC
EP300	HKDC1
TCF7	BIRC2
TCF7L2	SNAI2
STAT5A	SOCS1
STAT6	PIM1
PIK3R2	AKT3
PIK3R2	AKT1
RXRG	EHHADH
RXRG	FABP4
RXRG	FABP3
IRF7	IFNA8
IRF7	IFNA10
IRF7	IFNA14
MAPK8	IL12A
MAPK9	IL1A
MYB	CDK1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
MYC	CCNB1
TP53	RELA
CREB1	REN
SP1	SPN
ETS1	SPP1
JUN	TIMP1
JUNB	TIMP1
JUN	TP53
NFIC	TP53
