ADRA1B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	ATF2
MAPK1	CREB1
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	SMAD2
SMAD2	E2F4
HRAS	RAF1
RAF1	NFKB1
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	MAPK14
MAPK14	CEBPB
SMAD2	SP1
MAPK1	ETS1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ELK4
ETS1	SRF
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
SOS1	CCND3
SOS2	SPRY3
EPAS1	TGFA
MAX	CKS2
NFKB2	TRAF4
CREB1	BCL2
PPARA	ACSL1
PPARA	ACOX1
PPARG	ACSBG1
PPARG	UCP1
NFKB1	IL18
NFYC	HLA-DMA
RFX5	CD74
RFXAP	LOC100507709
CREB3L2	AQP2
CREB3L3	AQP2
SP3	ABCA1
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
ERG	HMOX1
POU2F2	IL4
ETS1	IL5
JUND	IL5
SPI1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
