AR	PRKACA
PRKACA	RELA
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	NEUROD1
NEUROG3	NKX2-2
NEUROG3	PAX6
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB1
NFKB1	TP53
ATF6B	FOS
ATF4	FOS
SOS2	CCND2
SOS2	CCND3
STAT1	SOCS7
STAT1	MYC
STAT1	CCND3
STAT1	SOCS3
CREB3	BCL2
ATF2	MCL1
PPARA	LPL
PPARA	ANGPTL4
PPARG	PLIN1
PPARG	SCD5
RXRB	ACSL5
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DPB1
MAPK8	IL12A
MAPK8	IL12B
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
POU2F2	REL
SP1	CDKN1C
CREB1	ERBB2
ELK1	ERBB2
ATF2	INS
SP1	ITGA2
