HRH2	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
SRC	HRAS
HRAS	JUN
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
MAPK1	ETS1
MAPK1	SMAD4
HRAS	FOS
MAPK1	SMAD3
STAT3	STAT1
GNB5	MAPK8
MAPK8	JUND
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
MAPK8	JUNB
PRKACA	PPARA
CTNNB1	LEF1
LEF1	PPARD
PIK3R5	MTOR
MTOR	PPARG
PRKACA	ATF1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
TP53	TP73
STAT3	MYC
MAPK1	ELK1
ELK1	EGR1
MAPK1	SMAD2
SMAD2	E2F4
LEF1	YAP1
NFKB1	NFKB2
MYC	ZBTB17
MYC	PIAS2
STAT1	MYD88
MYD88	VDR
RARA	JUP
STAT3	PIM2
RUNX1	JUP
RUNX1T1	JUP
ATF6B	ARC
ATF4	ARC
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP2
GLI3	BMP4
TFDP2	CCNE2
NPAS2	PER2
CLOCK	RORC
ATF6B	PCNA
EGR2	FASLG
NFKB1	TNF
MAPK8	JUN
CREBBP	ENO2
CREBBP	ALDOA
CREBBP	SERPINE1
CREBBP	ANGPT4
EP300	ENO2
EP300	ALDOA
EP300	SERPINE1
EP300	ANGPT4
HIF1A	ENO2
HIF1A	ALDOA
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	TEK
HIF1A	TFRC
SMAD2	CTGF
STAT4	MYC
STAT4	SOCS2
STAT5A	SOCS1
STAT5B	SOCS1
STAT6	PIM1
HNF1A	HNF4A
MITF	TYRP1
LEF1	MITF
BBC3	TP53
TP53	SERPINE1
TP53	PERP
EPAS1	VEGFC
FOS	VEGFA
JUN	FIGF
JUN	MMP9
IRF8	IL12A
ATF4	BCL2
CREB3L3	MCL1
PPARA	APOA1
PPARD	ACADL
PPARD	PDPK1
PPARG	OLR1
RXRA	CYP27A1
RXRA	FABP3
RXRA	ACSBG1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	UCP1
RXRB	CYP4A22
RXRB	PDPK1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA21
NFYB	HLA-DOA
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
RFX5	HLA-DRA
RFX5	HLA-DRB3
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
MYB	TSC22D3
MYBL1	TSC22D3
USF1	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	CAV1
TP53	CAV1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
USF2	CEACAM6
ATF1	CGA
ATF2	CGA
CREB1	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
EGR1	EGFR
USF1	FBP1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
E2F1	HIST1H2AM
NFIC	HRAS
E2F4	HSP90B1
CREB1	ICAM1
CREM	ICAM1
TP53	IL8
CEBPA	ITGA2
ETS2	MMP3
FLI1	MMP3
PPARA	MMP9
PPARG	MMP9
SPI1	NFKB1
BRCA1	PCNA
FOS	PDHA1
RARB	S100A8
RARB	S100A9
PPARA	SERPINE1
PPARD	SERPINE1
POU2F2	SPP1
SP1	TAF7
JUN	TFRC
ATF1	TG
STAT3	TIMP1
CEBPA	TK1
ERG	TNNC1
ETS1	TNNC1
TP53	TP53
SP1	TPI1
HIF1A	VHL
PAX1	VHL
SMAD3	ZFP36
