AR	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	RELA
PRKACA	CREB1
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
CREBBP	ARNT
NFKB1	TP53
PRKACA	MAPK1
MAPK1	JUN
MAPK1	ESR1
GLI3	BMP2
ELK1	BIRC2
JUN	CCND2
RELA	MMP9
CREB3L3	IL8
CREBBP	PGF
CREBBP	TFRC
EP300	PGF
EP300	TFRC
STAT4	CCND1
STAT4	SOCS2
STAT5B	MYC
STAT5B	SOCS1
EP300	MITF
RBPJ	HES1
TP53	BAI1
EPAS1	TGFB2
MYC	CKS1B
NFYC	HLA-DMB
NFYC	HLA-DOA
RFXAP	HLA-DRB4
ELK1	TWF2
ETS2	TWF2
FLI1	POLR2A
WT1	BCL2
ATF1	BRCA1
NFIC	C4BPB
USF1	CALCA
CREB1	F3
PPARA	MMP9
ESR1	PTMA
MYBL2	RBL1
ETS1	SLC26A3
MYBL2	SP1
HOXA5	TH
CREB1	TIMP1
SP3	TNNC1
MYC	TP53
