TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	NFKB1
NFKB1	HIF1A
RHOA	MAPK8
MAPK8	TP53
RAF1	AKT3
AKT3	MTOR
MTOR	PPARG
MAPK8	SMAD3
SMAD3	SP1
AKT3	CHUK
CHUK	IRF7
NFKB1	TRAF6
TRAF6	MYD88
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
AKT3	CREB1
RAF1	RELA
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
NFKB1	CEBPB
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK8	JUN
NFKB1	NFKB2
SMAD3	E2F4
MAPK8	ELK1
ELK1	SPI1
PRKACA	PPARA
RAF1	MAPK1
MAPK1	ETS1
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
MAPK8	ATF2
ATF2	ATF1
MAPK1	MYC
MAPK8	FOS
MAPK8	SMAD4
SMAD4	LEF1
LEF1	PPARD
SMAD3	TFDP1
TFDP1	E2F1
AKT3	ATF4
MAPK1	STAT3
STAT3	IRF1
RAF1	MAPK3
RAF1	MAPK14
RAF1	MAPK11
RAF1	MAPK13
RHOA	MAPK9
RHOA	MAPK10
PRKACA	XBP1
XBP1	CEBPA
BCL2	TP53
TP53	PTEN
PTEN	PIK3R5
PIK3R5	HIF1A
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	CHUK
MAP3K1	NFKB1
PTEN	AKT3
MAP3K1	RELA
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
YAP1	GLI2
MAP3K1	IKBKG
AKT3	JUN
CASP3	PAK1
PAK1	MAP3K14
MAP3K14	NFKB2
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
MAP3K1	MAPK8
THBS1	PTK2
PTK2	MAPK1
PRKACA	CREBBP
PRKACA	EP300
PRKACA	ATF1
YAP1	MYC
YAP1	LEF1
CDKN1A	CCNA1
CCNA1	E2F1
AKT3	ATF2
ITGB1	SRC
SRC	STAT3
PTK2	MAPK3
MAP3K1	MAPK14
MAP3K1	MAPK11
MAP3K1	MAPK13
MAP3K1	MAPK9
MAP3K1	MAPK10
TNF	VCAM1
CREB3	BDNF
ATF2	BDNF
CREB5	FOSB
CREB5	NPY
CREB3L4	PDYN
CREB3L2	PDYN
CREB3L1	PDYN
CREB5	FOS
NFKB1	BIRC8
NFKB1	BIRC3
RELA	BIRC2
GLI1	WNT16
GLI1	PTCH1
GLI1	BMP2
GLI1	WNT1
GLI1	WNT7B
GLI1	WNT9A
GLI1	WNT10A
GLI1	PTCH2
GLI2	GLI1
EP300	FASLG
NFKB1	IL6
CREBBP	FLT1
CREBBP	NOS3
EP300	FLT1
EP300	NOS3
HIF1A	FLT1
HIF1A	NOS3
FOXO1	FBP2
SOS1	CCND1
SOS2	SPRY1
STAT4	SOCS5
STAT5B	SOCS3
LEF1	MITF
CREB3L3	MITF
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
TP53	SESN1
TP53	PMAIP1
TP53	RFWD2
TP53	SIAH1
EPAS1	FIGF
EPAS1	TGFB2
ETS1	VEGFA
FOS	IL8
AR	KLK3
JUN	MMP1
MYC	CKS1B
MYC	MMP2
NFKB1	NOS2
NFKB1	TRAF6
NFKB2	BIRC2
NFKB2	BCL2L1
RELA	CCND1
ATF2	MCL1
FOXO3	G6PC
NFKB1	MYB
CREB3L3	BCL2
PPARA	CPT2
PPARA	ACSL4
PPARA	ANGPTL4
PPARA	ACOX2
PPARD	ILK
PPARD	UBC
PPARG	CPT1A
PPARG	GK
PPARG	SCD5
RXRA	CPT1C
RXRA	DBI
RXRA	ACSL1
RXRA	SCD
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRB	ACSL3
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
RXRB	SLC27A1
RXRB	ACSBG2
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
RXRG	CYP27A1
RXRG	CD36
MAX	CDK6
SMAD5	ID2
FOS	IL6
FOS	TNF
IRF5	IL6
IRF7	IFNA1
NFYA	HLA-DOA
NFYB	HLA-DPA1
MAPK8	IL18
MAPK11	TNF
MAPK9	TNF
MAPK10	IL6
RFX5	LOC100507709
RFX5	HLA-DRA
RFX5	HLA-DRB1
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
SP1	COL4A1
USF1	XRCC6
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
USF1	APEX1
EGR1	APOA1
SP3	APOA1
USF1	APOA2
CEBPA	APOB
ATF2	APOC3
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
PPARG	CDKN1A
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
E2F4	DHFR
EGR1	EGFR
EGR1	FN1
NFKB1	FN1
RELA	FN1
POU2F2	HLA-DRA
ATF2	HLA-E
STAT1	IFNG
USF1	IFNG
TFAP2A	IGFBP3
STAT5A	IL2RA
STAT5B	IL2RA
STAT4	IRF1
CEBPA	IVL
CREB1	JUN
ERG	JUN
ESR2	JUN
JUN	JUN
NFKB1	KLK3
SP1	KRT5
SP1	LCAT
ETS1	LCK
CREB1	LDHA
PPARD	LIPA
ETS1	LYZ
MYB	MAT2A
SP1	MAT2A
SP1	MAT2B
TP53	S100B
ESR1	SERPINE1
CEBPA	TF
CREB1	TFRC
ATF2	TNF
SPI1	TNF
STAT3	TRH
SP1	UBE2L3
