TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK8	SMAD3
SMAD3	SP1
SMAD3	YAP1
MAPK8	TP53
SMAD3	WWTR1
SMAD3	CREBBP
SMAD3	EP300
RHOA	RAF1
RAF1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
RAF1	MAPK1
MAPK1	SMAD2
MAPK8	ELK1
ELK1	EGR1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ESR1
RAF1	AKT3
AKT3	MTOR
MTOR	PPARG
CREBBP	EPAS1
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
RAF1	RELA
MAPK8	JUN
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK8	FOS
AKT3	CREB1
MAPK1	ESR2
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
MAPK8	ATF2
AKT3	ATF4
MAPK1	STAT3
AKT3	ATF6B
AKT3	CREB5
BCL2	TP53
TP53	TP73
TP73	YAP1
YAP1	LEF1
YAP1	SMAD2
SMAD2	SP1
YAP1	SMAD3
TP73	WWTR1
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
TP53	PTEN
PTEN	PIK3R5
PIK3R5	HIF1A
YAP1	SMAD4
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	MAPK8
THBS1	PTK2
PTK2	MAPK1
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
ITGB1	PRKCA
PRKCA	EGLN2
EGLN2	EPAS1
PTEN	AKT3
MAP3K1	NFKB1
MAP3K1	RELA
AKT3	JUN
AKT3	ATF2
ITGB1	SRC
SRC	STAT3
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EGR3	FASLG
SMAD3	MYC
MAPK9	SMAD4
CREBBP	FIGF
CREBBP	HK1
CREBBP	PFKFB2
EP300	FIGF
EP300	HK1
EP300	PFKFB2
HIF1A	FIGF
HIF1A	HK1
HIF1A	PFKFB2
HIF1A	PGK1
ARNT	EGF
ARNT	FLT1
ARNT	LDHA
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PGK1
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
STAT5A	SOCS2
STAT6	CCND1
PAX6	PDX1
HNF1A	HNF4G
TCF7L1	MITF
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB2	ICAM1
RELA	PLAU
PIK3CA	AKT1
PIK3R1	AKT3
RBPJ	HES1
TP53	BAI1
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
MYD88	IFNA17
MYD88	IFNB1
MAPK3	IL18
RFXAP	HLA-DOA
SP1	COL4A2
SP1	ADA
CREB1	ADRB2
SP3	COL2A1
SP3	DNASE2
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	FOSL1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARG	S100A9
SPI1	SCARB2
USF2	SERPINE1
TFAP2A	TAF7
EGR1	TFPI2
ATF1	TH
ATF1	TNF
EGR4	TNF
NFKB1	TNNC1
CREB1	TRH
JUN	TXN
ETV4	VIM
NFKB1	VWF
