DRD2	GNAI1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAI1	MAPK1
MAPK1	RELA
MAPK1	NFKB1
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
DRD1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
CALM1	ADCY1
CALM1	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM1	HRAS
CALM2	ADCY1
CALM2	CAMK2A
CALM2	HRAS
CALM3	ADCY1
CALM3	CAMK2A
CALM3	HRAS
MAPK11	IL8
RBPJL	FCER2
HIF1A	PFKFB4
HIF1A	PFKL
EPAS1	SLC2A1
FOS	VEGFA
NFKB2	TRAF6
CREB3L3	MCL1
PPARA	EHHADH
PPARD	PDPK1
PPARG	ACSL3
RXRA	FABP3
NFKB1	PPP2R4
CEBPB	PTGS2
ETS1	VWF
ETS2	VWF
