CES1	UGT2B11
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	STAT3
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
NFKB1	CEBPB
AKT3	JUN
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
AKT3	RELA
MAPK1	ESR1
OGT	GSK3B
GSK3B	MYC
MAPK1	STAT1
MAPK1	SMAD3
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
MAPK1	TP53
CYP2E1	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT4
JAK2	STAT2
JAK2	STAT6
GSK3B	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	RBPJL
CREBBP	RBPJ
AKT3	PPP1CA
PPP1CA	YAP1
OGT	PIK3R5
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
CRTC2	EP300
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	PER3
CLOCK	PER2
FOSB	NFKB1
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
MAPK14	CXCL1
MAPK9	SMAD4
CREBBP	PFKFB2
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
PIK3R1	AKT3
RBPJL	PTCRA
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ATF2	HLA-E
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
ATF1	NTS
PAX6	PDHX
JUN	PENK
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
TFAP2A	POLD2
USF2	SERPINE1
ATF1	TH
