TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK14
MAPK14	MAX
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	JUN
MAPK1	ETS1
MAPK8	FOS
PRKACA	CREB1
MAPK8	ELK1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ETS2
PRKACA	RELA
PRKACA	MAPK3
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	ATF2
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT1
PRKACA	XBP1
XBP1	CEBPA
MAPK1	STAT3
MAPK1	ESR1
PRKACA	CREM
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	EP300
CREBBP	ARNT
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
NOS1	HRAS
HRAS	MAPK14
MAPK1	TP53
HRAS	JUN
HRAS	FOS
GATM	NOS3
NOS3	CREB1
MAPK1	ELK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	RELA
NOS1	MAPK3
MAPK1	NFKB1
HRAS	PIK3R5
PIK3R5	HIF1A
NOS3	ATF2
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
STAT3	STAT5A
STAT3	STAT5B
NOS1	KRAS
KRAS	GRB2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
MYC	CCND1
CREB3L4	PCNA
ATF4	PCNA
CREBBP	EPO
CREBBP	HK3
EP300	EPO
EP300	HK3
HIF1A	EPO
HIF1A	HK3
ARNT	ENO1
YAP1	ID4
YAP1	NKD1
WWTR1	SERPINE1
TCF7	SOX2
TCF7L2	AXIN1
TEAD1	BIRC5
TEAD4	CTGF
TEAD4	AXIN2
TEAD3	CCND1
TCF7L1	BIRC2
TEAD2	GLI2
TEAD2	CCND2
FOXO1	PCK1
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
TP53	RPRM
RXRA	ACADL
RXRA	APOA1
RXRA	APOA2
RXRA	ACADM
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
MAPK3	IL18
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RFXAP	HLA-DMB
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
SP1	COL4A2
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
USF1	CTSB
ETS1	DNTT
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
NFIC	PLAT
RARA	S100A9
JUN	SERPINB2
NFIC	STMN1
NFIC	TFPI2
E2F4	TK1
ETS1	TNF
WT1	TP53
TP53	TYMS
