HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	CREB1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
MAPK1	ATF4
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
MAPK1	STAT1
MAPK1	ETS2
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
RAF1	RELA
ITGB2	PTK2
PTK2	MAPK1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	CREB1
ITGB2	CRK
CRK	ABL1
ABL1	RB1
AKT3	ATF4
AKT3	CREB3
AKT3	ATF2
AKT3	ATF6B
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	NFKB1
ITGB2	SRC
SRC	STAT3
STAT3	STAT1
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
AKT3	RELA
GLI3	WNT5A
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3	MITF
LEF1	MITF
RXRB	ILK
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFKB1	IL23A
MAPK3	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFX5	LOC100507709
MAPK12	IL1A
TCF7L2	JUN
TCF7L2	FOSL1
SP1	COL4A2
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
ELK1	CCT8
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
EGR1	EGFR
JUN	MT1A
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
