HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
MAPK1	ESR1
HRAS	PIK3R5
PIK3R5	HIF1A
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK1	STAT3
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
MAPK1	SMAD3
MAPK1	MYC
HRAS	MAPK14
MAPK14	CEBPB
HRAS	JUN
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ELK1
ELK1	EGR1
SMAD2	E2F4
MAPK1	STAT1
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
SMAD2	WWTR1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	CREB1
MAPK1	ATF2
NFKB1	MYB
NFKB1	NFKB2
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	ETS1
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
HRAS	FOS
PRKACA	CREM
CREBBP	EPAS1
HRAS	MAPK3
MAPK14	MAX
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK11
HRAS	MAPK13
MAPK1	ESR2
STAT1	MYD88
ETS1	SPI1
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
ITGB2	PTK2
PTK2	MAPK1
ITGB2	PIK3R5
CREBBP	SP1
PIK3R5	PLCE1
PIK3R5	AKT3
AKT3	RELA
AKT3	NFKB1
ITGB2	SRC
SRC	STAT3
STAT3	ESR1
AKT3	PPP1CA
PPP1CA	YAP1
SRC	CTNNB1
CTNNB1	LEF1
PIK3R5	GSK3B
GSK3B	MYC
PTK2	MAPK14
AKT3	JUN
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT3	STAT1
PPP1CA	WWTR1
AKT3	IKBKG
AKT3	CREB1
AKT3	ATF2
AKT3	CHUK
CHUK	NFKB2
AKT3	CREB3
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
EGFR	SOS1
EGFR	SOS2
PIK3R5	HRAS
PTK2	MAPK3
PTK2	MAPK11
PTK2	MAPK13
STAT3	ESR2
JUP	MYC
JUP	CCND1
TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
ATF6B	ARC
ATF4	ARC
GLI3	WNT4
GLI3	PTCH1
GLI3	BMP2
TP53	GADD45G
TP53	GADD45A
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER3
CREB1	PER2
ARNTL	CRY1
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORA
ARNTL	RORB
ARNTL	RORC
ARNTL	BHLHE41
NPAS2	RORB
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	CRY1
CLOCK	PER1
CLOCK	RORB
JUN	RELA
MYC	CCND1
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	CR2
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
ELK1	BIRC3
CREB3	PCNA
EGR3	FASLG
NFKB1	TNF
RELA	TNF
CREB3L1	PCNA
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	PGK1
CREBBP	VEGFB
EP300	FIGF
EP300	SERPINE1
EP300	PGK1
EP300	VEGFB
