AR	PRKACA
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREBBP
CREBBP	SP1
MAPK1	JUN
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
FOXO1	PCK1
LEF1	MITF
CREB3L2	MITF
MYC	CKS1B
MYC	IL8
RELA	CCND1
RELA	TRAF6
PPARA	ACSL4
PPARA	CYP4A22
PPARG	GK
PPARG	SLC27A1
NFKB1	IL23A
NFYB	HLA-DOA
MAPK9	TNF
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
USF1	CTSB
ETV4	ERBB2
PPARG	GADD45A
RARA	GADD45A
POU5F1	HMGB2
CREB1	HMOX1
