CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAPK1	ELK1
ELK1	EGR1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PIK3R5	MTOR
MTOR	PPARG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ESR1
ELK1	BIRC3
EGR3	FASLG
RELA	TNF
CREBBP	FIGF
CREBBP	PGK1
EP300	FIGF
EP300	PGK1
HIF1A	FIGF
HNF1A	HNF4G
PIK3R2	AKT1
NFYB	HLA-DRB1
NFYC	CD74
MAPK8	IL18
MAPK9	IL12A
MAPK9	IL12B
JUN	ALDOA
POU2F1	ALDOC
ETS1	DNTT
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	F3
JUND	F3
EGR1	PTP4A1
RARG	S100A9
CREB1	SLC9A1
TFAP2A	TAF7
TFAP2A	TH
ATF1	TNF
SP3	TNPO1
CREB1	TRH
