AMY2A	IGF1R
IGF1R	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
IGF1R	ESR1
ESR1	SP1
ESR1	E2F1
IGF1R	TP53
ESR1	RELA
TP53	CREB1
IGF1R	SOCS3
SOCS3	NFKB1
IGF1R	NEDD4
NEDD4	ERG
IGF1R	CSK
CSK	JUN
ESR1	BCAR1
BCAR1	E2F2
TRIM28	E2F3
IGF1R	APP
APP	MAPK7
MAPK7	FOS
TP53	TFAP2A
CSK	CREBBP
ESR1	EP300
ESR1	HIF1A
IGF1R	EGFR
EGFR	PML
PML	ARNT
TP53	ETS1
EGFR	UBA2
UBA2	ETV4
APP	AKAP13
AKAP13	PPARA
ARRB2	STAT1
APP	GSK3B
GSK3B	RXRA
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
IGF1R	RUVBL1
RUVBL1	RARA
APP	MYC
EP300	USF2
ARRB2	HDAC2
HDAC2	PPARD
ESR1	SP3
IGF1R	MDM2
MDM2	JUND
APP	C9orf41
C9orf41	NR3C2
EGFR	STAT3
APP	MAPK8
MAPK8	CEBPA
NEDD4	PPARG
GAA	HIVEP1
HIVEP1	SMAD3
SMAD3	E2F4
GAA	STAT2
STAT2	EP300
EP300	SP1
EP300	E2F1
EP300	TP53
GAA	GOT1
GOT1	UBE2H
UBE2H	RELA
EP300	CREB1
EP300	NFKB1
GOT1	UFM1
UFM1	USP9X
USP9X	ERG
EP300	JUN
EP300	RB1
RB1	E2F2
RB1	E2F3
EP300	FOS
EP300	TFAP2A
STAT2	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	ETS1
EP300	TP63
TP63	ETV4
RELA	PPARA
STAT2	STAT1
EP300	RXRA
EP300	NR3C1
NR3C1	RXRB
EP300	PPARG
PPARG	RXRG
EP300	RARA
EP300	MYC
EP300	CTNNB1
CTNNB1	PPARD
EP300	SP3
EP300	JUND
GOT1	HPRT1
HPRT1	PTGES3
PTGES3	NR3C2
HIVEP1	STAT3
SMAD3	CEBPA
RARA	CCNA1
CREB3L3	FOSB
CREB3L1	BDNF
CREB5	FOSB
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	BMP2
TFDP2	CCNE2
RBPJ	CR2
ATF6B	PCNA
FOS	MMP9
NFKB1	TNF
MAPK9	JUN
CREBBP	ENO2
CREBBP	GAPDH
CREBBP	SERPINE1
CREBBP	PFKFB1
EP300	ENO2
EP300	GAPDH
EP300	SERPINE1
EP300	PFKFB1
HIF1A	ENO2
HIF1A	GAPDH
HIF1A	SERPINE1
HIF1A	PFKFB1
STAT4	SOCS2
STAT5B	SOCS1
CREB1	MITF
CREB3L1	MITF
VDR	SLC34A2
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
FOS	VEGFA
FOS	VEGFB
JUN	MMP9
MYC	VEGFA
CREB3L4	MCL1
CREB3L3	MCL1
CREB3L1	MCL1
PPARA	SCP2
PPARD	PDPK1
PPARD	UCP1
RXRA	NR1H3
RXRA	FABP3
RXRA	ACSL3
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
NFYA	HLA-DPB1
NFYC	HLA-DOB
MAPK1	IL12B
MAPK11	IL12A
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
MAPK12	NOS2
RFXANK	HLA-DMA
LEF1	FOSL1
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
TP53	APCS
SP1	APEX1
USF1	APEX1
EGR1	APOA1
PPARG	APOE
USF2	APOE
TP53	AQP1
ATF1	AQP3
CREB1	AQP3
STAT1	EGFR
STAT5A	EGFR
TFAP2A	GH2
USF1	GH2
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
NFKB1	ICAM1
RELA	IL2
STAT4	IL2RA
POU2F1	IL4
POU2F2	IL4
TFAP2A	ITGA2
HIF1A	ITGB2
ESR2	JUN
ETS2	JUN
JUN	JUN
JUN	MGP
RARA	MIF
RARG	MIF
CEBPA	MMP11
FLI1	MMP2
PPARG	MMP9
E2F1	MYB
CEBPE	MYC
ESR1	MYC
TP53	NFIC
CREB1	PLAT
EGR1	PLAU
ETS2	PLAU
SP1	SPN
ETS2	SPP1
JUN	SPP1
NFKB1	TFPI2
ELK1	TNF
