AMY2A	IGF1R
IGF1R	APP
APP	MAPK8
MAPK8	ELK4
APP	KAT5
KAT5	SRF
IGF1R	ESR1
ESR1	TOP1
TOP1	ELK3
IGF1R	EGFR
EGFR	STAT3
APP	ELK1
ELK1	FLI1
MAPK8	ATF2
IGF1R	TP53
TP53	CREB1
IGF1R	CSK
CSK	JUN
JUN	CREB3
ESR1	XBP1
XBP1	ATF6B
IGF1R	ARRB2
ARRB2	NFKBIA
NFKBIA	ATF4
IGF1R	RUVBL1
RUVBL1	ELAVL1
ELAVL1	CREB3L2
IGF1R	MDM2
MDM2	PGRMC1
PGRMC1	CREB3L1
EGFR	TRAF2
TRAF2	CREB5
GAA	HIVEP1
HIVEP1	MAPK8
GAA	STAT2
STAT2	CREBBP
CREBBP	SRF
GAA	GOT1
GOT1	RIC1
RIC1	TOP1
HIVEP1	STAT3
STAT2	EP300
EP300	ESR1
GOT1	NME1
NME1	GATA1
GATA1	FLI1
EP300	ATF2
EP300	CREB1
GOT1	C11orf54
C11orf54	BCAT2
BCAT2	CREB3
HIVEP1	SMAD3
SMAD3	NFYC
NFYC	ATF6B
EP300	ATF4
GAA	NUMBL
NUMBL	TRAF5
TRAF5	ELAVL1
EP300	DDIT3
DDIT3	CREB3L1
GOT1	UBE2H
UBE2H	TRIM23
TRIM23	CREB5
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
SOS1	CCND3
SOS2	SPRY3
TFAP2A	ADRA1A
CREB1	ADRB2
SP1	AGT
NFKB1	AKR1B1
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
