ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA8
HSPA8	UBE3A
UBE3A	CEBPA
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SFPQ	PPARG
AP2M1	CLTC
CLTC	EP300
EP300	ETS2
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA1D	GOPC
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
GOPC	TGFBR2
TGFBR2	HSP90AA1
GOPC	RELA
RELA	PPARG
DTNA	ACTB
ACTB	EP300
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	YWHAE
YWHAE	C1QBP
C1QBP	CEBPA
YWHAE	XPO1
XPO1	PPARG
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS2
PPARG	SAT1
SP1	CDK1
NFIC	ARG1
ETS2	CDK1
CEBPA	F9
SP1	GJA1
SP1	LCAT
ETS2	PLAU
SP1	PLAU
CEBPA	PREB
CEBPA	SERPINC1
NFIC	STMN1
