ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA8
HSPA8	UBE3A
UBE3A	CEBPA
AP2M1	CLTC
CLTC	EP300
EP300	ETS1
EP300	FOS
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	BCR
BCR	TP53
AP2M1	EEF1A1
EEF1A1	FUS
FUS	SPI1
AP2M1	CSNK2B
CSNK2B	MYC
CSNK2B	BRCA1
BRCA1	FLI1
HSPA8	ERG
HSPA8	HTT
HTT	ETV4
EP300	NFKB1
EP300	EGR1
EP300	CREB1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
DTNA	ACTB
ACTB	EP300
RELA	FOS
EP300	TFAP2A
DTNA	NMT1
NMT1	TP53
CDC42	VAV1
VAV1	SPI1
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
GOPC	BECN1
BECN1	BRCA1
ADRA1D	AMFR
AMFR	HSPA4
HSPA4	ERG
AMFR	HTT
RELA	NFKB1
RELA	EGR1
AMFR	ATXN3
ATXN3	CREB1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	SP1
YWHAE	C1QBP
C1QBP	CEBPA
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
ABL1	FOS
YWHAE	NPM1
NPM1	TFAP2A
KCNH2	CDC73
CDC73	DEP1
DEP1	SPI1
HSP90AA1	MYC
HSP90AA1	BRCA1
YWHAE	HDAC4
HDAC4	NFKB1
HSPA8	RELA
ABL1	CREB1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
JUND	IVL
ATF1	JUN
CREB1	JUN
ERG	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
