ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	HIF1A
AP2M1	HSPA8
HSPA8	RELA
AP2M1	APC
APC	EPAS1
EP300	ETS1
EP300	ZBTB17
AP2M1	EEF1A1
EEF1A1	GTF2I
GTF2I	PIAS2
EEF1A1	HSP90AA1
HSP90AA1	NFIC
APC	CREBBP
AP2M1	SFPQ
SFPQ	SP1
HSPA8	POU2F1
AP2M1	AP1G1
AP1G1	JUN
EEF1A1	IKBKG
IKBKG	NFKB2
HSPA8	UBE3A
UBE3A	CEBPA
EP300	ARNT
AP2M1	CSNK2B
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
EP300	EGR1
AP2M1	SPTBN1
SPTBN1	SMAD3
SPTBN1	SMAD4
EP300	FOS
EEF1A1	GADD45G
GADD45G	PPARD
EP300	STAT1
EP300	CEBPB
GADD45G	PPARA
SFPQ	SP3
EP300	ETS2
AP2M1	RUVBL2
RUVBL2	ATF2
HSPA8	HTT
HTT	ETV4
SPTBN1	SMAD2
EP300	CREB1
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
RELA	HIF1A
DTNA	ACTB
ACTB	EP300
EP300	EPAS1
GOPC	ZBTB49
ZBTB49	ZBTB17
ADRA1D	ERLIN2
ERLIN2	SREBF2
SREBF2	PIAS2
GOPC	TGFBR2
TGFBR2	HSP90AA1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
DTNA	NUP62
NUP62	SP1
RELA	POU2F1
RELA	JUN
RELA	NFKB2
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	EGR1
RELA	SMAD3
RELA	SMAD4
RELA	FOS
NUP62	CTNNB1
CTNNB1	PPARD
GOPC	KPNA1
KPNA1	STAT1
RELA	CEBPB
RELA	PPARA
RELA	SP3
EP300	ATF2
ADRA1D	AMFR
AMFR	HTT
DTNA	DMD
DMD	NEDD4
NEDD4	SMAD2
AMFR	ATXN3
ATXN3	CREB1
KCNH2	HSPA8
HSPA8	TP53
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSP90AA1
HSP90AA1	HIF1A
HSP90AA1	EPAS1
TP53	ETS1
HSP90AA1	ZBTB17
TP53	PIAS2
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	SP1
YWHAE	ABL1
ABL1	JUN
YWHAE	TBK1
TBK1	NFKB2
YWHAE	C1QBP
C1QBP	CEBPA
HSP90AA1	ARNT
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	NCBP1
NCBP1	SMAD4
ABL1	FOS
HSP90AA1	PPARD
YWHAE	XPO1
XPO1	STAT1
YWHAE	NOLC1
NOLC1	CEBPB
HSPA8	ESR1
ESR1	SP3
TP53	ETS2
YWHAE	MAPK14
MAPK14	ATF2
YWHAE	TGFB1
TGFB1	SMAD2
ABL1	CREB1
CREB3L4	PDYN
CREB3L2	PDYN
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	PTCH1
GLI3	BMP4
MAPK11	IL8
RBPJL	FCER2
JUN	CCND3
CREB1	IL8
CREB3L3	PCNA
CREB5	PCNA
CREBBP	TIMP1
CREBBP	HKDC1
EP300	TIMP1
EP300	HKDC1
STAT5A	CCND1
STAT6	MYC
CREBBP	MITF
TCF7L2	MITF
CREB3L3	MITF
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB2	CCL13
NFKB2	CCL19
RELA	CCL4L2
RELA	BCL2A1
RELB	CCL21
PIK3CA	AKT2
PIK3CB	AKT1
PIK3CD	AKT1
TP53	RRM2B
TP53	PMAIP1
TP53	PERP
EPAS1	PDGFB
ETS1	FIGF
HIF1A	TGFB1
NFKB2	TRAF2
IRF1	IL12B
CREB1	BCL2
PPARA	CYP7A1
PPARA	APOC3
PPARA	ACOX1
PPARG	CYP27A1
PPARG	ANGPTL4
PPARG	UCP1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	SCD5
RXRB	ACAA1
NFYC	HLA-DPA1
NFYC	HLA-DPB1
NFYC	HLA-DQA1
MAPK3	IL12B
MAPK3	IL18
CREB3L4	AQP2
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
SPI1	REL
SPI1	CXCR2
CEBPB	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
CREB1	AQP3
ELK1	CCT8
SP1	CD14
SP2	CD14
EGR1	CD44
ETS1	COX4I1
SP1	COX4I1
NFKB1	CSF1
ETS1	CSF2
SP3	DKC1
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB2	IL8
TP53	IL8
ATF2	INS
NFKB1	IRF1
STAT3	IRF1
CEBPA	ITGA2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
POU2F1	LPL
NFKB1	LTA
JUN	MAT2A
NFKB1	MAT2A
SP1	MAT2A
SP2	MAT2A
SP1	MAT2B
SP3	MAT2B
MYB	MYC
MYBL2	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
ATF4	PTGS2
RARB	PTGS2
POU2F1	SPP1
SP1	SPP1
SP1	TAF7
JUN	TFPI2
POU2F1	TFPI2
