GABRA1	PRKCD
PRKCD	EP300
EP300	CREB1
PRKCD	ELAVL1
ELAVL1	HOXA5
PRKCD	STAT3
STAT3	PML
PML	E2F4
PRKCD	STAT1
STAT3	TRIM28
TRIM28	STAT4
EP300	EGR1
EP300	TFAP2A
EP300	BRCA1
BRCA1	ATF1
EP300	ATF2
PRKCD	HSP90AA1
HSP90AA1	NFIC
EP300	REL
ELAVL1	CEBPA
EP300	STAT5A
PRKCD	INSR
INSR	STAT5B
PRKCD	SP1
SP1	POU2F1
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREB1
TP53	MAPK14
MAPK14	HOXA5
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	E2F4
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	STAT1
BEND7	TRIM27
TRIM27	PIAS2
PIAS2	STAT4
TP53	EGR1
TP53	TFAP2A
SDCBP2	PRPF40A
PRPF40A	CSNK2A2
CSNK2A2	ATF1
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
TIFA	TRAF6
TRAF6	SMURF1
SMURF1	NFIC
SDCBP2	SEC23A
SEC23A	HSPA4
HSPA4	REL
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	STAT5A
TRAF6	NTRK1
NTRK1	STAT5B
PRPF40A	XRCC6
XRCC6	POU2F1
GABRA4	APP
APP	KAT5
KAT5	CREB1
APP	PSEN2
PSEN2	ELAVL1
APP	EEF1D
EEF1D	HCFC1
HCFC1	E2F4
APP	HDAC4
HDAC4	STAT1
APP	MAPK8
MAPK8	PIAS2
EEF1D	RELA
RELA	EGR1
APP	MYC
MYC	TFAP2A
ATF2	ATF1
ELAVL1	NFIC
MAPK8	REL
MAPK8	CEBPA
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	HSPA8
HSPA8	POU2F1
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	UBC
UBC	BRCA1
BRCA1	E2F4
BRCA1	STAT1
UBC	TRIM28
UBC	CUL3
CUL3	ATF2
NOD1	HSP90AA1
UBC	FHL2
FHL2	REL
UBC	C1QBP
BRCA1	STAT5A
UBC	HAX1
HAX1	STAT5B
BRCA1	POU2F1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	CREB1
TRAK2	PRKAB2
PRKAB2	MAGED1
MAGED1	RBFOX2
RBFOX2	HOXA5
GSK3B	SMAD3
SMAD3	E2F4
PRKAB2	GNB2L1
GNB2L1	STAT1
PRKAB2	PIAS2
GSK3B	RELA
GSK3B	TP53
TRAK2	OGT
OGT	CSNK2A1
CSNK2A1	ATF1
SMAD3	ATF2
GSK3B	HSP90AA1
PRKAB2	REL
PRKAB2	YY1AP1
YY1AP1	CEBPA
PRKAB2	CSNK2B
GSK3B	PTPN11
PTPN11	STAT5B
PRKAB2	PRKDC
PRKDC	POU2F1
GABRB3	PRKACA
PRKACA	CREB1
GABRB3	PRKCA
PRKCA	ELAVL1
PRKACA	HDAC1
HDAC1	E2F4
GABRB3	MEOX2
