HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	ELAVL1
ELAVL1	ELK4
S1PR1	WWP2
WWP2	SMAD7
SMAD7	SRF
S1PR1	TRIP6
TRIP6	RPS14
RPS14	TOP1
TOP1	ELK3
TRIP6	CREB5
CREB5	JUN
TRIP6	PTK2
PTK2	TP53
GNAI3	GNB2
GNB2	STAT3
XPO1	STAT1
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
WWP2	SMAD2
SMAD2	ETV4
WWP2	SMAD3
SMAD3	SP1
GLI3	HHIP
SOS1	CCND3
SOS2	SPRY3
STAT5A	CCND1
STAT6	MYC
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3R1	AKT3
TFAP2A	ADRA1A
NFIC	AFP
EGR1	AKR1B1
NFKB1	AKR1B1
NFKB2	IL8
ATF2	INS
NFKB1	IRF1
CEBPA	ITGA2
NFIC	TFPI2
