HTR2A	CBL
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
CBL	GRB2
GRB2	EP300
EP300	ETS1
CBL	CTNNB1
CTNNB1	SP1
SMAD3	SMAD4
CBL	EGFR
EGFR	STAT1
EP300	TFAP2A
EGFR	STAT3
GRB2	HTT
HTT	ETV4
CTNNB1	HIF1A
CTNNB1	CREBBP
EP300	ARNT
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
FLNA	LMNA
LMNA	PML
PML	FOS
FLNA	REL
REL	EP300
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	SMAD4
DRD2	PAWR
PAWR	STAT1
LMNA	RB1
RB1	TFAP2A
STAT1	STAT3
REL	ATXN1
ATXN1	ETV4
COPS5	HIF1A
REL	CREBBP
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
GRIA2	GRIP1
GRIP1	CREBBP
CREBBP	CREB1
GRIA2	SDCBP
SDCBP	MBD3
MBD3	JUN
CREBBP	FOS
GRIA2	RAB11A
RAB11A	TDP2
TDP2	ETS1
GRIP1	CTNNB1
GRIA2	SPTAN1
SPTAN1	SPTBN1
SPTBN1	SMAD4
GRIA2	PICK1
PICK1	ERBB2
ERBB2	STAT1
SDCBP	KCTD1
KCTD1	TFAP2A
SDCBP	SIAH1
SIAH1	STAT3
SDCBP	DMC1
DMC1	RFWD2
RFWD2	ETV4
SDCBP	TRAF6
TRAF6	HIF1A
SDCBP	ZBTB8A
ZBTB8A	EP300
SIAH1	PIAS2
PIAS2	ARNT
GRIA3	GRIP1
GRIA3	SDCBP
CREBBP	ETS1
SDCBP	QARS
QARS	RNF11
RNF11	SMAD4
GRIA3	PICK1
NPAS2	BHLHE41
TCF7L2	MYC
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
RELA	CCL4
RELB	CXCL12
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
PAX2	TP53
SMAD3	ZFP36
